INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED,SHMI_VALUE,SHMI_BANDING,PO_LL,PO_UL,OD_LL,OD_UL
I00699,1,Tuberculosis,RCF,AIREDALE NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",55,*,*,,,,,,
I00699,1,Tuberculosis,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,R1H,BARTS HEALTH NHS TRUST,110,*,*,,,,,,
I00699,1,Tuberculosis,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RC1,BEDFORD HOSPITAL NHS TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RMC,BOLTON NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,25,*,*,,,,,,
I00699,1,Tuberculosis,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,25,*,*,,,,,,
I00699,1,Tuberculosis,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,35,*,*,,,,,,
I00699,1,Tuberculosis,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,*,0,*,,,,,,
