INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00731,R1F,ISLE OF WIGHT NHS TRUST,14,3323,0.4213
I00731,R1H,BARTS HEALTH NHS TRUST,129,19843,0.6501
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,89,15622,0.5697
I00731,RA3,WESTON AREA HEALTH NHS TRUST,10,1776,0.5631
I00731,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,20,3528,0.5669
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,182,14739,1.2348
I00731,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,54,5760,0.9375
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,66,12044,0.548
I00731,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,58,8219,0.7057
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,101,9586,1.0536
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,15,2386,0.6287
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,21,3617,0.5806
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,11,3821,0.2879
I00731,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,52,8909,0.5837
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28,5281,0.5302
I00731,RBK,WALSALL HEALTHCARE NHS TRUST,22,4443,0.4952
I00731,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,35,8347,0.4193
I00731,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,31,8618,0.3597
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,17,3902,0.4357
I00731,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29,3724,0.7787
I00731,RC1,BEDFORD HOSPITAL NHS TRUST,25,3855,0.6485
I00731,RC3,EALING HOSPITAL NHS TRUST,9,2064,0.436
I00731,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,42,8128,0.5167
I00731,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,58,10426,0.5563
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,21,4321,0.486
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,26,3300,0.7879
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",33,5020,0.6574
I00731,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,30,6171,0.4861
I00731,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,29,4151,0.6986
I00731,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,35,7353,0.476
I00731,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,21,4400,0.4773
I00731,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,53,6732,0.7873
I00731,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,39,7578,0.5146
I00731,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,45,9032,0.4982
I00731,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,71,11758,0.6038
I00731,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,134,1968,6.8089
I00731,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,73,11276,0.6474
I00731,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,86,8666,0.9924
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",64,7877,0.8125
I00731,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,20,4484,0.446
I00731,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,51,7547,0.6758
I00731,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,16,3467,0.4615
I00731,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,21,2248,0.9342
I00731,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,23,8118,0.2833
I00731,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,63,5178,1.2167
I00731,RGQ,IPSWICH HOSPITAL NHS TRUST,63,7230,0.8714
I00731,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,14,4263,0.3284
I00731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,105,18133,0.5791
I00731,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,99,13924,0.711
I00731,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,134,19348,0.6926
I00731,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,181,24596,0.7359
I00731,RHU,PORTSMOUTH HOSPITALS NHS TRUST,50,13769,0.3631
I00731,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,45,11345,0.3967
I00731,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,206,26283,0.7838
I00731,RJ2,LEWISHAM AND GREENWICH NHS TRUST,49,6323,0.7749
I00731,RJ6,CROYDON HEALTH SERVICES NHS TRUST,24,3281,0.7315
I00731,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,86,23306,0.369
I00731,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,23,4889,0.4704
I00731,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,40,4159,0.9618
I00731,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,110,12762,0.8619
I00731,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,30,4997,0.6004
I00731,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,77,9081,0.8479
I00731,RJN,EAST CHESHIRE NHS TRUST,12,2316,0.5181
I00731,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,33,5983,0.5516
I00731,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,135,20345,0.6636
I00731,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,25,7023,0.356
I00731,RK9,PLYMOUTH HOSPITALS NHS TRUST,111,14711,0.7545
I00731,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,92,15174,0.6063
I00731,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,*,*,0.1616
I00731,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,77,8843,0.8707
I00731,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,45,13325,0.3377
I00731,RLQ,WYE VALLEY NHS TRUST,29,6318,0.459
I00731,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,11,3019,0.3644
I00731,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,80,17112,0.4675
I00731,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,110,14501,0.7586
I00731,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,70,10743,0.6516
I00731,RMC,BOLTON NHS FOUNDATION TRUST,40,6539,0.6117
I00731,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,27,3360,0.8036
I00731,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,35,7069,0.4951
I00731,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,50,11713,0.4269
I00731,RN7,DARTFORD AND GRAVESHAM NHS TRUST,45,12717,0.3539
I00731,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,56,7358,0.7611
I00731,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,40,7314,0.5469
I00731,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,20,5632,0.3551
I00731,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,86,7769,1.107
I00731,RNZ,SALISBURY NHS FOUNDATION TRUST,39,6663,0.5853
I00731,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,44,10569,0.4163
I00731,RPA,MEDWAY NHS FOUNDATION TRUST,45,8718,0.5162
I00731,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,93,9970,0.9328
I00731,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,33,10605,0.3112
I00731,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,38,5859,0.6486
I00731,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,10,3707,0.2698
I00731,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,27,4519,0.5975
I00731,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,61,3266,1.8677
I00731,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,82,17148,0.4782
I00731,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,76,5520,1.3768
I00731,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,208,29511,0.7048
I00731,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",24,7456,0.3219
I00731,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,122,17649,0.6913
I00731,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,146,24679,0.5916
I00731,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,188,30890,0.6086
I00731,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,110,13548,0.8119
I00731,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,98,8328,1.1768
I00731,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,107,14223,0.7523
I00731,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,94,22944,0.4097
I00731,RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,36,6197,0.5809
I00731,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,11,4922,0.2235
I00731,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,135,18406,0.7335
I00731,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,38,7953,0.4778
I00731,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,45,9791,0.4596
