INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00732,R1F,ISLE OF WIGHT NHS TRUST,916,15773,5.8074
I00732,R1H,BARTS HEALTH NHS TRUST,3471,142737,2.4317
I00732,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1221,29943,4.0777
I00732,RA3,WESTON AREA HEALTH NHS TRUST,969,15051,6.4381
I00732,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,906,20793,4.3572
I00732,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1390,50377,2.7592
I00732,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1542,33307,4.6297
I00732,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1804,62407,2.8907
I00732,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2038,41083,4.9607
I00732,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1094,30298,3.6108
I00732,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,796,27236,2.9226
I00732,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,979,35254,2.777
I00732,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1292,43109,2.9971
I00732,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1538,42985,3.578
I00732,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1038,23861,4.3502
I00732,RBK,WALSALL HEALTHCARE NHS TRUST,1458,37863,3.8507
I00732,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2169,55402,3.915
I00732,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2126,59393,3.5795
I00732,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1416,33110,4.2767
I00732,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1308,26146,5.0027
I00732,RC1,BEDFORD HOSPITAL NHS TRUST,1159,25084,4.6205
I00732,RC3,EALING HOSPITAL NHS TRUST,653,27174,2.403
I00732,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1554,52274,2.9728
I00732,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3037,65666,4.6249
I00732,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,884,19312,4.5775
I00732,RCF,AIREDALE NHS FOUNDATION TRUST,997,27086,3.6809
I00732,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1528,32527,4.6976
I00732,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1939,35401,5.4772
I00732,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1493,46944,3.1804
I00732,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1440,43977,3.2744
I00732,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1134,36656,3.0936
I00732,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1920,43729,4.3907
I00732,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2198,43770,5.0217
I00732,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,1552,45207,3.4331
I00732,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2085,34992,5.9585
I00732,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1018,21224,4.7965
I00732,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2096,55627,3.768
I00732,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1944,32526,5.9768
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3099,72669,4.2645
I00732,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1416,37970,3.7293
I00732,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1445,33216,4.3503
I00732,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1326,31275,4.2398
I00732,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,930,32755,2.8393
I00732,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1746,42822,4.0773
I00732,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1382,28510,4.8474
I00732,RGQ,IPSWICH HOSPITAL NHS TRUST,1724,40215,4.287
I00732,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1261,28455,4.4316
I00732,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1964,52884,3.7138
I00732,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1679,45468,3.6927
I00732,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2719,70859,3.8372
I00732,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3350,82933,4.0394
I00732,RHU,PORTSMOUTH HOSPITALS NHS TRUST,3027,72312,4.186
I00732,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2088,51349,4.0663
I00732,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1157,58190,1.9883
I00732,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2326,75840,3.067
I00732,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1184,41531,2.8509
I00732,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1742,56927,3.0601
I00732,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1147,29005,3.9545
