INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,19096,1244,5988,6895,2748,755,1466,6.514453289,31.35735233,36.10703812,14.39044826,3.953707583,7.677000419
I00742,R1H,BARTS HEALTH NHS TRUST,162580,82924,31617,13759,8598,5293,20389,51.00504367,19.44704146,8.462910567,5.288473367,3.255627999,12.54090294
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45565,225,2522,5876,10225,23089,3628,0.493800066,5.534950071,12.89586305,22.44046966,50.67266542,7.962251728
I00742,RA3,WESTON AREA HEALTH NHS TRUST,16827,3037,2522,3415,5198,2260,395,18.04837464,14.9878172,20.29476437,30.89083021,13.43079574,2.34741784
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24321,928,2453,6869,9241,3039,1791,3.815632581,10.08593397,28.24308211,37.99597056,12.49537437,7.364006414
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,65116,15016,12807,11047,12373,11141,2732,23.06038454,19.66797715,16.96510842,19.00147429,17.10946618,4.19558941
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,39067,5226,10709,11168,7202,2103,2659,13.37701897,27.41188215,28.5867868,18.43499629,5.383059872,6.806255919
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74451,37668,13572,9662,4760,2766,6023,50.59435065,18.2294395,12.97766316,6.393466844,3.715195229,8.089884622
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49302,7410,8734,9436,8889,10726,4107,15.02981623,17.71530567,19.13918299,18.02969454,21.75570971,8.33029086
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,39884,7160,9722,8809,7101,2792,4300,17.95206098,24.3756895,22.086551,17.80413198,7.000300873,10.78126567
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29622,15584,6947,1988,760,333,4010,52.60954696,23.45216393,6.711228141,2.565660658,1.124164472,13.53723584
