INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,930,0,205,205,0,22,22
I00721,R1H,BARTS HEALTH NHS TRUST,3600,314,633,648,8.7,17.6,18
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1310,0,166,166,0,12.7,12.7
I00721,RA3,WESTON AREA HEALTH NHS TRUST,979,0,178,178,0,18.2,18.2
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,926,0,235,235,0,25.4,25.4
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1572,16,280,291,1,17.8,18.5
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1596,0,257,257,0,16.1,16.1
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1870,0,286,286,0,15.3,15.3
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2096,81,367,372,3.9,17.5,17.7
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1195,0,296,296,0,24.8,24.8
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,811,0,313,313,0,38.6,38.6
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1000,0,223,223,0,22.3,22.3
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1303,0,317,317,0,24.3,24.3
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1590,0,0,0,0,0,0
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1066,0,131,131,0,12.3,12.3
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1480,0,384,384,0,25.9,25.9
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2204,0,440,440,0,20,20
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2157,0,470,470,0,21.8,21.8
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1433,0,213,213,0,14.9,14.9
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1337,0,289,289,0,21.6,21.6
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1184,0,258,258,0,21.8,21.8
I00721,RC3,EALING HOSPITAL NHS TRUST,662,0,149,149,0,22.5,22.5
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1596,0,201,201,0,12.6,12.6
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3095,0,605,605,0,19.5,19.5
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,905,0,134,134,0,14.8,14.8
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,1023,0,233,233,0,22.8,22.8
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1561,86,206,238,5.5,13.2,15.2
I00721,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1969,0,328,328,0,16.7,16.7
I00721,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1522,196,360,381,12.9,23.7,25
I00721,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1475,16,494,498,1.1,33.5,33.8
I00721,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1155,0,318,318,0,27.5,27.5
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1973,291,422,443,14.7,21.4,22.5
I00721,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2237,0,568,568,0,25.4,25.4
I00721,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,1597,1,497,497,0.1,31.1,31.1
I00721,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2156,344,622,643,16,28.8,29.8
I00721,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1152,126,303,306,10.9,26.3,26.6
I00721,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2169,1,376,377,0,17.3,17.4
I00721,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2030,0,846,846,0,41.7,41.7
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3163,0,451,451,0,14.3,14.3
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1436,0,245,245,0,17.1,17.1
I00721,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1496,0,407,407,0,27.2,27.2
I00721,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1342,0,327,327,0,24.4,24.4
I00721,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,951,0,92,92,0,9.7,9.7
I00721,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1769,0,465,465,0,26.3,26.3
I00721,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1445,0,238,238,0,16.5,16.5
I00721,RGQ,IPSWICH HOSPITAL NHS TRUST,1787,0,553,553,0,30.9,30.9
I00721,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1275,0,249,249,0,19.5,19.5
I00721,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2069,0,293,293,0,14.2,14.2
