INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1H,BARTS HEALTH NHS TRUST,261,*,7.4595
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.4198
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.123
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.4153
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,22,*,1.0449
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.0221
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,83,*,2.3424
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6,*,0.2108
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,21,*,0.6538
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,34,0,0.9772
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32,0,1.4214
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7,0,0.1038
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.0189
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0275
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,16,*,0.4721
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.2971
I00699,1,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,*,0,0.0042
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.2429
I00699,1,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,*,*,0.3885
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,14,*,0.3448
I00699,1,RC3,EALING HOSPITAL NHS TRUST,92,0,2.77
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,40,*,1.0471
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,13,0,1.238
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,*,0,0.5883
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0918
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,6,0,0.2551
I00699,1,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,29,*,2.1317
I00699,1,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,15,*,0.1973
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.0459
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,0,0.0736
I00699,1,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,8,0,0.2419
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,*,0.2582
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,*,0.3362
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0718
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",71,*,2.2702
I00699,1,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0089
I00699,1,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,7,*,0.2622
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.0138
I00699,1,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,32,*,0.7261
I00699,1,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,11,*,1.0644
I00699,1,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9,*,0.683
I00699,1,RGQ,IPSWICH HOSPITAL NHS TRUST,*,*,0.1078
I00699,1,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,8,0,0.2668
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,27,0,0.4623
I00699,1,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,*,0,0.1549
I00699,1,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,34,*,1.1258
I00699,1,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,55,0,0.8827
I00699,1,RHU,PORTSMOUTH HOSPITALS NHS TRUST,*,*,0.0367
I00699,1,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,19,0,0.3421
I00699,1,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,33,0,0.7916
I00699,1,RJ2,LEWISHAM AND GREENWICH NHS TRUST,66,0,2.0232
I00699,1,RJ6,CROYDON HEALTH SERVICES NHS TRUST,33,0,0.4645
I00699,1,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,71,*,1.3095
I00699,1,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,*,0,0.1644
I00699,1,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,*,0,0.1857
I00699,1,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,18,0,0.7807
I00699,1,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,*,0,0.2998
I00699,1,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11,0,0.6365
I00699,1,RJN,EAST CHESHIRE NHS TRUST,*,0,0.3186
I00699,1,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,0,0.1227
I00699,1,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,56,*,1.3526
I00699,1,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,0.2597
I00699,1,RK9,PLYMOUTH HOSPITALS NHS TRUST,8,0,0.6055
I00699,1,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,64,*,1.993
I00699,1,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,22,*,1.4667
I00699,1,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,28,*,0.9912
I00699,1,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,12,0,0.2821
I00699,1,RLQ,WYE VALLEY NHS TRUST,6,0,0.5457
I00699,1,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,8,0,0.4455
I00699,1,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,0,0.2162
I00699,1,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,20,*,0.7609
I00699,1,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,10,0,0.6238
I00699,1,RMC,BOLTON NHS FOUNDATION TRUST,16,*,0.452
I00699,1,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,15,0,0.8596
I00699,1,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,6,*,0.608
I00699,1,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9,0,0.1979
I00699,1,RN7,DARTFORD AND GRAVESHAM NHS TRUST,16,*,0.3793
I00699,1,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,7,0,0.3935
I00699,1,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,*,0.4432
I00699,1,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6,0,0.2121
I00699,1,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,13,*,0.3317
I00699,1,RNZ,SALISBURY NHS FOUNDATION TRUST,6,0,0.0731
I00699,1,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,11,0,0.2475
I00699,1,RPA,MEDWAY NHS FOUNDATION TRUST,15,0,0.7624
I00699,1,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,33,*,1.0031
I00699,1,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,*,0,0.1976
I00699,1,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,10,0,0.0514
I00699,1,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,*,0,0.0868
I00699,1,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7,0,0.5445
I00699,1,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,20,0,0.442
I00699,1,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,108,0,2.3703
I00699,1,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,*,0,0.5544
I00699,1,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,48,*,1.2637
