INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00743,R1F,ISLE OF WIGHT NHS TRUST,774,33,240,338,123,40,0,4.3,31,43.7,15.9,5.2,0
I00743,R1H,BARTS HEALTH NHS TRUST,3492,1841,731,384,241,174,121,52.7,20.9,11,6.9,5,3.5
I00743,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2304,341,736,758,273,171,25,14.8,31.9,32.9,11.8,7.4,1.1
I00743,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1238,*,42,134,331,718,*,*,3.4,10.8,26.7,58,*
I00743,RA3,WESTON AREA HEALTH NHS TRUST,920,166,155,212,294,*,*,18,16.8,23,32,*,*
I00743,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,881,*,74,288,379,110,*,*,8.4,32.7,43,12.5,*
I00743,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1695,355,393,268,306,345,28,20.9,23.2,15.8,18.1,20.4,1.7
I00743,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1607,161,496,491,360,93,6,10,30.9,30.6,22.4,5.8,0.4
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1647,750,367,275,138,87,30,45.5,22.3,16.7,8.4,5.3,1.8
I00743,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2002,298,329,483,373,507,12,14.9,16.4,24.1,18.6,25.3,0.6
I00743,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2822,295,585,756,755,369,62,10.5,20.7,26.8,26.8,13.1,2.2
I00743,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1078,479,315,144,87,40,13,44.4,29.2,13.4,8.1,3.7,1.2
I00743,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,914,78,336,246,135,106,13,8.5,36.8,26.9,14.8,11.6,1.4
I00743,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1122,31,112,159,343,448,29,2.8,10,14.2,30.6,39.9,2.6
I00743,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1521,94,386,504,306,222,9,6.2,25.4,33.1,20.1,14.6,0.6
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1055,112,209,386,271,*,*,10.6,19.8,36.6,25.7,*,*
I00743,RBK,WALSALL HEALTHCARE NHS TRUST,1486,616,373,214,164,97,22,41.5,25.1,14.4,11,6.5,1.5
I00743,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2057,616,382,334,312,377,36,29.9,18.6,16.2,15.2,18.3,1.8
I00743,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1991,972,352,349,172,128,18,48.8,17.7,17.5,8.6,6.4,0.9
I00743,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1412,227,264,245,242,421,13,16.1,18.7,17.4,17.1,29.8,0.9
I00743,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1218,74,296,498,283,61,6,6.1,24.3,40.9,23.2,5,0.5
I00743,RC1,BEDFORD HOSPITAL NHS TRUST,1084,73,241,147,255,362,6,6.7,22.2,13.6,23.5,33.4,0.6
I00743,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1508,196,365,326,284,312,25,13,24.2,21.6,18.8,20.7,1.7
I00743,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2940,304,489,683,717,727,20,10.3,16.6,23.2,24.4,24.7,0.7
I00743,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,858,*,41,184,244,360,*,*,4.8,21.4,28.4,42,*
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,984,159,*,208,301,191,*,16.2,*,21.1,30.6,19.4,*
I00743,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1456,156,469,536,255,32,8,10.7,32.2,36.8,17.5,2.2,0.5
I00743,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1830,*,231,411,516,622,*,*,12.6,22.5,28.2,34,*
I00743,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1498,80,251,426,403,328,10,5.3,16.8,28.4,26.9,21.9,0.7
I00743,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1072,120,131,161,245,400,15,11.2,12.2,15,22.9,37.3,1.4
I00743,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1926,288,548,382,328,366,14,15,28.5,19.8,17,19,0.7
I00743,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2049,253,485,526,534,239,12,12.3,23.7,25.7,26.1,11.7,0.6
I00743,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2971,86,315,551,598,1410,11,2.9,10.6,18.5,20.1,47.5,0.4
I00743,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1942,177,373,456,409,511,16,9.1,19.2,23.5,21.1,26.3,0.8
I00743,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1092,468,264,197,81,82,0,42.9,24.2,18,7.4,7.5,0
I00743,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2057,303,762,777,179,18,18,14.7,37,37.8,8.7,0.9,0.9
I00743,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1932,1104,302,227,189,103,7,57.1,15.6,11.7,9.8,5.3,0.4
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2851,493,871,608,542,277,60,17.3,30.6,21.3,19,9.7,2.1
I00743,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1352,453,374,314,157,*,*,33.5,27.7,23.2,11.6,*,*
I00743,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1399,518,378,224,195,*,*,37,27,16,13.9,*,*
I00743,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1582,282,407,303,373,*,*,17.8,25.7,19.2,23.6,*,*
I00743,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,872,58,307,210,167,111,19,6.7,35.2,24.1,19.2,12.7,2.2
I00743,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1698,273,287,370,446,308,14,16.1,16.9,21.8,26.3,18.1,0.8
I00743,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1375,245,317,467,297,*,*,17.8,23.1,34,21.6,*,*
I00743,RGQ,IPSWICH HOSPITAL NHS TRUST,1761,185,183,315,615,455,8,10.5,10.4,17.9,34.9,25.8,0.5
I00743,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1264,*,149,332,559,216,*,*,11.8,26.3,44.2,17.1,*
I00743,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1992,52,218,325,603,758,36,2.6,10.9,16.3,30.3,38.1,1.8
I00743,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1801,99,313,557,572,248,12,5.5,17.4,30.9,31.8,13.8,0.7
I00743,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2806,300,435,609,649,765,48,10.7,15.5,21.7,23.1,27.3,1.7
I00743,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3300,1227,593,599,473,373,35,37.2,18,18.2,14.3,11.3,1.1
I00743,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2823,432,437,544,640,757,13,15.3,15.5,19.3,22.7,26.8,0.5
I00743,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1955,76,259,280,344,985,11,3.9,13.2,14.3,17.6,50.4,0.6
I00743,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1393,418,531,187,119,87,51,30,38.1,13.4,8.5,6.2,3.7
I00743,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1903,615,663,261,203,130,31,32.3,34.8,13.7,10.7,6.8,1.6
I00743,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1248,271,339,290,165,100,83,21.7,27.2,23.2,13.2,8,6.7
I00743,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1908,157,513,494,323,391,30,8.2,26.9,25.9,16.9,20.5,1.6
I00743,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,351,*,32,59,107,150,*,*,9.1,16.8,30.5,42.7,*
I00743,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3910,960,818,798,822,444,68,24.6,20.9,20.4,21,11.4,1.7
I00743,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1248,122,229,331,362,194,10,9.8,18.3,26.5,29,15.5,0.8
I00743,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2127,520,421,513,419,215,39,24.4,19.8,24.1,19.7,10.1,1.8
I00743,RJN,EAST CHESHIRE NHS TRUST,859,*,118,158,181,359,*,*,13.7,18.4,21.1,41.8,*
