INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,18251,1134,5767,6586,2586,700,1478,6.2,31.6,36.1,14.2,3.8,8.1
I00742,R1H,BARTS HEALTH NHS TRUST,163184,83147,32102,14305,8647,5407,19576,51,19.7,8.8,5.3,3.3,12
I00742,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,99173,16035,32204,26883,11178,5289,7584,16.2,32.5,27.1,11.3,5.3,7.6
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,49392,286,2784,6079,11526,25150,3567,0.6,5.6,12.3,23.3,50.9,7.2
I00742,RA3,WESTON AREA HEALTH NHS TRUST,18956,3696,2920,3836,5802,2301,401,19.5,15.4,20.2,30.6,12.1,2.1
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23449,837,2438,6815,8881,2804,1674,3.6,10.4,29.1,37.9,12,7.1
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,72558,15386,13956,11591,13144,12038,6443,21.2,19.2,16,18.1,16.6,8.9
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38466,5111,10905,10850,7072,1965,2563,13.3,28.3,28.2,18.4,5.1,6.7
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77337,40019,13997,9565,4913,2861,5982,51.7,18.1,12.4,6.4,3.7,7.7
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52610,8285,9578,10573,9795,11288,3091,15.7,18.2,20.1,18.6,21.5,5.9
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,98804,12667,21646,24611,20437,9224,10219,12.8,21.9,24.9,20.7,9.3,10.3
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,38779,19999,10010,3179,1696,741,3154,51.6,25.8,8.2,4.4,1.9,8.1
I00742,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,39136,3473,14250,8576,4536,3552,4749,8.9,36.4,21.9,11.6,9.1,12.1
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46820,1231,4046,7109,12731,14706,6997,2.6,8.6,15.2,27.2,31.4,14.9
I00742,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51350,3100,12431,16091,9600,6419,3709,6,24.2,31.3,18.7,12.5,7.2
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28618,3135,4779,9845,6603,2116,2140,11,16.7,34.4,23.1,7.4,7.5
I00742,RBK,WALSALL HEALTHCARE NHS TRUST,42302,18903,8533,4415,3174,2419,4858,44.7,20.2,10.4,7.5,5.7,11.5
I00742,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,65671,22470,11143,8465,9096,10177,4320,34.2,17,12.9,13.9,15.5,6.6
I00742,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,64736,30056,10824,9083,5854,4291,4628,46.4,16.7,14,9,6.6,7.1
I00742,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,46200,7869,9705,7881,7972,12294,479,17,21,17.1,17.3,26.6,1
I00742,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,28840,2403,8042,10040,5937,771,1647,8.3,27.9,34.8,20.6,2.7,5.7
I00742,RC1,BEDFORD HOSPITAL NHS TRUST,27717,2669,5162,4535,6499,8587,265,9.6,18.6,16.4,23.4,31,1
