INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,R1F,ISLE OF WIGHT NHS TRUST,18251,0,333,333,0,1.8,1.8
I00720,R1H,BARTS HEALTH NHS TRUST,163184,397,934,999,0.2,0.6,0.6
I00720,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,99173,0,891,891,0,0.9,0.9
I00720,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,49392,7,385,390,0,0.8,0.8
I00720,RA3,WESTON AREA HEALTH NHS TRUST,18956,0,431,431,0,2.3,2.3
I00720,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23449,0,406,406,0,1.7,1.7
I00720,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,72558,42,634,656,0.1,0.9,0.9
I00720,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38466,3,560,561,0,1.5,1.5
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77337,0,553,553,0,0.7,0.7
I00720,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52610,131,687,722,0.2,1.3,1.4
I00720,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,98804,0,1275,1275,0,1.3,1.3
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,38779,0,584,584,0,1.5,1.5
I00720,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,39136,0,430,430,0,1.1,1.1
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46820,0,586,586,0,1.3,1.3
I00720,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51350,0,265,265,0,0.5,0.5
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28618,0,276,276,0,1,1
I00720,RBK,WALSALL HEALTHCARE NHS TRUST,42302,0,703,703,0,1.7,1.7
I00720,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,65671,0,961,961,0,1.5,1.5
I00720,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,64736,0,764,764,0,1.2,1.2
I00720,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,46200,0,641,641,0,1.4,1.4
