INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,18251,774,741.9322,1.0432,0.8904,1.1187,0.8839,1.1313,2
I00699,R1H,BARTS HEALTH NHS TRUST,163184,3492,4302.903,0.8115,0.9536,1.048,0.9007,1.1102,3
I00699,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,99173,2304,2766.1176,0.8329,0.9423,1.0602,0.8986,1.1128,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,49392,1238,1431.3186,0.8649,0.9203,1.0844,0.8933,1.1194,3
I00699,RA3,WESTON AREA HEALTH NHS TRUST,18956,920,917.3087,1.0029,0.9011,1.1063,0.8876,1.1267,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23449,881,855.3339,1.03,0.8977,1.1102,0.8864,1.1281,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,72558,1695,1770.099,0.9576,0.9282,1.0756,0.8954,1.1168,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38466,1607,1633.3822,0.9838,0.9253,1.0788,0.8946,1.1178,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77337,1647,1710.5389,0.9629,0.9269,1.077,0.8951,1.1172,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52610,2002,1895.72,1.0561,0.9305,1.073,0.896,1.1161,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,98804,2822,3181.7659,0.8869,0.9461,1.056,0.8994,1.1119,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,38779,1078,1234.023,0.8736,0.9143,1.0911,0.8916,1.1215,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,39136,914,1045.8446,0.8739,0.9072,1.0993,0.8895,1.1242,3
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46820,1122,1280.6735,0.8761,0.9159,1.0894,0.8921,1.121,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51350,1521,1545.1454,0.9844,0.9232,1.0811,0.8941,1.1184,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28618,1055,962.6058,1.096,0.9034,1.1037,0.8883,1.1258,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,42302,1486,1432.2845,1.0375,0.9203,1.0844,0.8933,1.1194,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,65671,2057,2053.5791,1.0017,0.9332,1.0701,0.8966,1.1153,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,64736,1991,1927.324,1.033,0.9311,1.0724,0.8961,1.1159,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,46200,1412,1368.8503,1.0315,0.9186,1.0864,0.8928,1.12,2
