INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,17942,1388,6066,6831,2753,675,229,7.736,33.8089,38.0727,15.3439,3.7621,1.2763
I00742,R1H,BARTS HEALTH NHS TRUST,151009,85550,32716,15009,8684,5320,3730,56.6523,21.6649,9.9391,5.7507,3.523,2.4701
I00742,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,93741,15262,32885,27208,11203,5675,1508,16.281,35.0807,29.0247,11.951,6.0539,1.6087
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,49773,262,2968,6337,12224,25489,2493,0.5264,5.9631,12.7318,24.5595,51.2105,5.0087
I00742,RA3,WESTON AREA HEALTH NHS TRUST,17624,3268,2700,3761,5407,2294,194,18.5429,15.32,21.3402,30.6798,13.0163,1.1008
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24436,1071,2709,7320,9929,3167,240,4.3829,11.0861,29.9558,40.6327,12.9604,0.9822
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,75220,17689,15691,13229,14331,12720,1560,23.5164,20.8601,17.5871,19.0521,16.9104,2.0739
I00742,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,44121,6151,13120,13531,8488,2473,358,13.9412,29.7364,30.6679,19.238,5.605,0.8114
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74868,42590,14300,10167,4856,2644,311,56.8868,19.1003,13.5799,6.4861,3.5315,0.4154
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54238,8940,10143,11551,10676,12408,520,16.4829,18.7009,21.2969,19.6836,22.8769,0.9587
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,99608,13179,23071,27981,22948,10182,2247,13.2309,23.1618,28.0911,23.0383,10.2221,2.2558
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,46361,24189,13006,4556,2485,1169,956,52.1753,28.0538,9.8272,5.3601,2.5215,2.0621
I00742,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,40028,3894,16365,9631,5331,3896,911,9.7282,40.8839,24.0607,13.3182,9.7332,2.2759
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,48757,1468,4622,8078,15620,17581,1388,3.0108,9.4797,16.5679,32.0364,36.0584,2.8468
I00742,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,50314,3220,13233,16526,10148,6754,433,6.3998,26.3008,32.8457,20.1693,13.4237,0.8606
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30302,3466,5201,11438,7602,2448,147,11.4382,17.1639,37.7467,25.0875,8.0787,0.4851
I00742,RBK,WALSALL HEALTHCARE NHS TRUST,44282,22292,9853,5205,3822,2648,462,50.341,22.2506,11.7542,8.631,5.9799,1.0433
I00742,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,66843,24515,12010,8757,9091,10813,1657,36.6755,17.9675,13.1008,13.6005,16.1767,2.4789
I00742,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,68820,33777,11992,10403,6640,4559,1449,49.0802,17.4252,15.1162,9.6484,6.6245,2.1055
I00742,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,46382,7804,9419,7968,8065,12677,449,16.8255,20.3074,17.1791,17.3882,27.3317,0.968
I00742,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,28840,2370,8625,10591,6250,711,293,8.2178,29.9064,36.7233,21.6713,2.4653,1.016
I00742,RC1,BEDFORD HOSPITAL NHS TRUST,30801,3117,5980,4833,7226,9425,220,10.1198,19.415,15.691,23.4603,30.5997,0.7143
I00742,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,66268,13306,17367,13054,10428,11032,1081,20.0791,26.2072,19.6988,15.7361,16.6476,1.6313
I00742,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,80660,10238,13670,17697,19245,19324,486,12.6928,16.9477,21.9402,23.8594,23.9574,0.6025
I00742,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,25764,657,1493,5503,8298,9655,158,2.5501,5.7949,21.3593,32.2077,37.4748,0.6133
I00742,RCF,AIREDALE NHS FOUNDATION TRUST,34377,7983,4520,6801,9743,5066,264,23.2219,13.1483,19.7836,28.3416,14.7366,0.768
I00742,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",42024,6537,13368,14193,5734,2007,185,15.5554,31.8104,33.7736,13.6446,4.7758,0.4402
I00742,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,53807,2384,6778,11958,14692,17591,404,4.4307,12.5969,22.2239,27.305,32.6928,0.7508
I00742,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,47293,4131,10067,12833,10401,9325,536,8.7349,21.2864,27.1351,21.9927,19.7175,1.1334
I00742,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,38495,4902,4778,4588,8203,12008,4016,12.7341,12.412,11.9184,21.3093,31.1937,10.4325
