INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,"ISLE OF WIGHT NHS TRUST",846,0,285,285,0.0000,33.6879,33.6879
I00721,R1H,"BARTS HEALTH NHS TRUST",3874,280,755,774,7.2277,19.4889,19.9793
I00721,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2646,0,501,501,0.0000,18.9342,18.9342
I00721,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1273,16,521,522,1.2569,40.9269,41.0055
I00721,RA3,"WESTON AREA HEALTH NHS TRUST",1010,0,271,271,0.0000,26.8317,26.8317
I00721,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",988,0,362,362,0.0000,36.6397,36.6397
I00721,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1761,49,400,433,2.7825,22.7144,24.5883
I00721,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1921,0,357,357,0.0000,18.5841,18.5841
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1783,0,333,333,0.0000,18.6764,18.6764
I00721,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2285,63,418,429,2.7571,18.2932,18.7746
I00721,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2782,0,707,707,0.0000,25.4134,25.4134
I00721,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1481,0,312,312,0.0000,21.0668,21.0668
I00721,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1041,0,289,289,0.0000,27.7618,27.7618
I00721,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1267,0,327,327,0.0000,25.8090,25.8090
I00721,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1641,0,203,203,0.0000,12.3705,12.3705
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1169,0,186,186,0.0000,15.9110,15.9110
I00721,RBK,"WALSALL HEALTHCARE NHS TRUST",1683,0,616,616,0.0000,36.6013,36.6013
I00721,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2197,0,606,606,0.0000,27.5831,27.5831
I00721,RBN,"ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST",2253,0,547,547,0.0000,24.2787,24.2787
I00721,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1457,0,221,221,0.0000,15.1682,15.1682
I00721,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1259,0,233,233,0.0000,18.5068,18.5068
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1155,0,297,297,0.0000,25.7143,25.7143
I00721,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1686,0,239,239,0.0000,14.1756,14.1756
I00721,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3182,0,715,715,0.0000,22.4701,22.4701
I00721,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",961,0,160,160,0.0000,16.6493,16.6493
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",1068,0,282,282,0.0000,26.4045,26.4045
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1479,37,206,211,2.5017,13.9283,14.2664
I00721,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",2001,0,407,407,0.0000,20.3398,20.3398
I00721,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1577,223,481,501,14.1408,30.5010,31.7692
I00721,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1231,0,504,504,0.0000,40.9423,40.9423
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2080,330,522,584,15.8654,25.0962,28.0769
I00721,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2235,0,525,525,0.0000,23.4899,23.4899
I00721,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3413,33,1421,1428,0.9669,41.6349,41.8400
I00721,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2161,356,957,968,16.4739,44.2851,44.7941
I00721,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",1155,157,251,251,13.5931,21.7316,21.7316
I00721,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2345,3,566,566,0.1279,24.1365,24.1365
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1967,0,958,958,0.0000,48.7036,48.7036
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2999,0,696,696,0.0000,23.2077,23.2077
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1444,0,206,206,0.0000,14.2659,14.2659
I00721,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1597,1,516,516,0.0626,32.3106,32.3106
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1800,0,502,502,0.0000,27.8889,27.8889
I00721,RGN,"PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST",1935,0,611,611,0.0000,31.5762,31.5762
I00721,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1488,0,369,369,0.0000,24.7984,24.7984
I00721,RGQ,"IPSWICH HOSPITAL NHS TRUST",1979,0,257,257,0.0000,12.9864,12.9864
I00721,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1461,0,288,288,0.0000,19.7125,19.7125
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2367,1,628,629,0.0422,26.5315,26.5737
I00721,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",1956,0,341,341,0.0000,17.4335,17.4335
I00721,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2790,438,1169,1186,15.6989,41.8996,42.5090
I00721,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3594,255,875,892,7.0952,24.3461,24.8191
I00721,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3066,0,819,819,0.0000,26.7123,26.7123
I00721,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2035,0,875,875,0.0000,42.9975,42.9975
I00721,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1406,0,651,651,0.0000,46.3016,46.3016
I00721,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2336,0,653,653,0.0000,27.9538,27.9538
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1312,0,201,201,0.0000,15.3201,15.3201
I00721,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2130,0,626,626,0.0000,29.3897,29.3897
I00721,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1149,0,240,240,0.0000,20.8877,20.8877
