INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,R1F,ISLE OF WIGHT NHS TRUST,17942,0,449,449,0,2.5025,2.5025
I00720,R1H,BARTS HEALTH NHS TRUST,151009,358,1200,1255,0.2371,0.7947,0.8311
I00720,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,93741,0,872,872,0,0.9302,0.9302
I00720,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,49773,18,774,775,0.0362,1.5551,1.5571
I00720,RA3,WESTON AREA HEALTH NHS TRUST,17624,0,500,500,0,2.837,2.837
I00720,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24436,0,508,508,0,2.0789,2.0789
I00720,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,75220,55,692,731,0.0731,0.92,0.9718
I00720,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,44121,2,638,639,0.0045,1.446,1.4483
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74868,0,501,501,0,0.6692,0.6692
I00720,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54238,115,759,782,0.212,1.3994,1.4418
I00720,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,99608,1,1160,1160,0.001,1.1646,1.1646
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,46361,0,598,598,0,1.2899,1.2899
I00720,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,40028,0,486,486,0,1.2142,1.2142
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,48757,0,430,430,0,0.8819,0.8819
I00720,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,50314,0,321,321,0,0.638,0.638
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30302,0,324,324,0,1.0692,1.0692
I00720,RBK,WALSALL HEALTHCARE NHS TRUST,44282,0,833,833,0,1.8811,1.8811
I00720,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,66843,0,967,967,0,1.4467,1.4467
I00720,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,68820,0,814,814,0,1.1828,1.1828
I00720,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,46382,0,431,431,0,0.9292,0.9292
