INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,R1F,"ISLE OF WIGHT NHS TRUST",*,0,0.0085
I00699,1,R1H,"BARTS HEALTH NHS TRUST",150,*,5.2339
I00699,1,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",155,*,4.6885
I00699,1,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",*,0,0.1984
I00699,1,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",*,0,0.0014
I00699,1,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",23,*,0.4560
I00699,1,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",6,0,0.1175
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",31,*,0.6718
I00699,1,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,*,0.1463
I00699,1,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",40,*,2.5764
I00699,1,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",34,*,1.2230
I00699,1,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",24,0,0.5308
I00699,1,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,0,0.1044
I00699,1,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",6,0,0.4417
I00699,1,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0124
I00699,1,RBK,"WALSALL HEALTHCARE NHS TRUST",8,0,0.1115
I00699,1,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",*,0,0.0946
I00699,1,RBN,"ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST",*,0,0.2733
I00699,1,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,0.0485
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",6,0,0.1215
I00699,1,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",17,*,0.3895
I00699,1,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",*,*,0.2896
I00699,1,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",*,0,0.1095
