INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7940,1336606,0.5940
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",77,8487,0.9073
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",44,3190,1.3793
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",40,6602,0.6059
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",49,7765,0.6310
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",23,4103,0.5606
I00731,R1H,"BARTS HEALTH NHS TRUST",135,20667,0.6532
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",24,6019,0.3987
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",26,3284,0.7917
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",47,7972,0.5896
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",35,5947,0.5885
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",54,10156,0.5317
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",56,11012,0.5085
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",20,6099,0.3279
I00731,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",27,3782,0.7139
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",29,8214,0.3531
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",67,22857,0.2931
I00731,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",113,19831,0.5698
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",65,8931,0.7278
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",15,4422,0.3392
I00731,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",76,12875,0.5903
I00731,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",55,7474,0.7359
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",54,5279,1.0229
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",37,8427,0.4391
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",7,3117,0.2246
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",57,16711,0.3411
I00731,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",76,14213,0.5347
I00731,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",66,11926,0.5534
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",25,4317,0.5791
I00731,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",58,11682,0.4965
I00731,RJN,"EAST CHESHIRE NHS TRUST",9,1738,0.5178
I00731,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",86,15500,0.5548
I00731,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",68,10196,0.6669
I00731,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",57,7212,0.7903
I00731,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",47,9341,0.5032
I00731,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",82,17169,0.4776
I00731,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",62,5628,1.1016
I00731,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",11,2270,0.4846
I00731,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",85,12089,0.7031
I00731,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",26,6362,0.4087
I00731,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",179,28530,0.6274
I00731,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",64,10290,0.6220
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",21,3898,0.5387
I00731,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",110,38130,0.2885
I00731,RQQ,"HINCHINGBROOKE HEALTH CARE NHS TRUST",17,4241,0.4008
I00731,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",15,2700,0.5556
I00731,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",156,17423,0.8954
I00731,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",113,18324,0.6167
I00731,RGQ,"IPSWICH HOSPITAL NHS TRUST",50,7337,0.6815
I00731,R1F,"ISLE OF WIGHT NHS TRUST",7,3012,0.2324
I00731,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",24,5289,0.4538
