INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,"ENGLAND",8865155,2136371,1856131,1680185,1538424,1402966,251078,24.0985,20.9374,18.9527,17.3536,15.8256,2.8322
I00742,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",48110,27762,6585,6215,4141,2643,764,57.7053,13.6874,12.9183,8.6074,5.4937,1.5880
I00742,RCF,"AIREDALE NHS FOUNDATION TRUST",34704,7615,4610,6789,10211,5260,219,21.9427,13.2838,19.5626,29.4231,15.1568,0.6311
I00742,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",41008,459,4481,7118,9740,18829,381,1.1193,10.9271,17.3576,23.7515,45.9154,0.9291
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",84025,18105,26620,18278,13688,5996,1338,21.5472,31.6810,21.7530,16.2904,7.1360,1.5924
I00742,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",42754,15444,12105,8114,4239,1898,954,36.1229,28.3131,18.9783,9.9149,4.4394,2.2314
I00742,R1H,"BARTS HEALTH NHS TRUST",155810,88894,33698,14907,8593,5286,4432,57.0528,21.6276,9.5674,5.5151,3.3926,2.8445
I00742,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",54390,9849,14808,10685,8258,10220,570,18.1081,27.2256,19.6452,15.1829,18.7902,1.0480
I00742,RC1,"BEDFORD HOSPITAL NHS TRUST",32967,3108,6113,5360,8046,10085,255,9.4276,18.5428,16.2587,24.4062,30.5912,0.7735
I00742,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",56960,19432,11354,10410,8957,6240,567,34.1152,19.9333,18.2760,15.7251,10.9551,0.9954
I00742,RMC,"BOLTON NHS FOUNDATION TRUST",64883,30675,13580,8208,7129,4868,423,47.2774,20.9300,12.6505,10.9875,7.5027,0.6519
I00742,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",75180,42429,14503,10062,4856,2724,606,56.4366,19.2910,13.3839,6.4592,3.6233,0.8061
