INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,"ENGLAND",3.5619,19
I01965,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.7460,19
I01965,RCF,"AIREDALE NHS FOUNDATION TRUST",4.2577,13
I01965,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",3.2024,11
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3.7059,13
I01965,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",2.7514,19
I01965,R1H,"BARTS HEALTH NHS TRUST",3.4676,19
I01965,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.9910,13
I01965,RC1,"BEDFORD HOSPITAL NHS TRUST",3.6897,19
I01965,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",5.1078,13
I01965,RMC,"BOLTON NHS FOUNDATION TRUST",4.6470,19
I01965,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",2.5880,15
I01965,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",3.5489,13
I01965,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",3.6258,17
I01965,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",2.9921,13
I01965,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",3.9959,15
I01965,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2.6355,19
I01965,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.9058,12
I01965,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",3.6950,19
I01965,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",2.7135,19
I01965,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",3.2864,12
I01965,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",4.2244,19
I01965,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",3.0593,12
I01965,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2.9341,13
I01965,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",2.9654,15
I01965,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.7787,15
I01965,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3.1986,9
I01965,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",3.4363,19
I01965,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3.1489,13
I01965,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2.9408,19
I01965,RJN,"EAST CHESHIRE NHS TRUST",2.6082,12
I01965,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",2.4899,13
I01965,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",4.2003,13
I01965,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2.9685,12
I01965,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",3.5327,19
I01965,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",2.7276,19
I01965,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",3.2998,13
I01965,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",3.0850,11
I01965,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3.1053,12
I01965,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",3.1484,13
I01965,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",4.2258,13
I01965,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2.9972,15
I01965,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3.6432,12
I01965,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",1.9133,19
I01965,RQQ,"HINCHINGBROOKE HEALTH CARE NHS TRUST",2.8715,19
I01965,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2.9370,19
I01965,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3.6784,19
I01965,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",3.7823,19
I01965,RGQ,"IPSWICH HOSPITAL NHS TRUST",3.1802,13
I01965,R1F,"ISLE OF WIGHT NHS TRUST",4.5226,13
I01965,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2.9068,12
I01965,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",2.9561,13
I01965,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",4.0636,19
I01965,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",2.8678,19
I01965,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",4.2982,12
I01965,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",3.5018,19
I01965,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2.4120,13
I01965,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",3.4733,12
I01965,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2.7751,12
I01965,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",3.3117,19
I01965,RPA,"MEDWAY NHS FOUNDATION TRUST",3.4304,19
I01965,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",4.0321,12
I01965,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",3.3363,13
I01965,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",4.1049,13
I01965,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.7905,14
I01965,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.6301,13
I01965,RVJ,"NORTH BRISTOL NHS TRUST",4.3165,19
I01965,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",3.5966,13
I01965,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",4.0194,19
I01965,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",3.9396,19
I01965,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",3.9227,13
I01965,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",3.0042,12
I01965,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",3.5398,19
I01965,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3.9735,19
I01965,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4.7464,19
I01965,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.5575,12
I01965,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3.9121,13
I01965,RGN,"PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST",2.8478,13
I01965,RK9,"PLYMOUTH HOSPITALS NHS TRUST",5.0999,19
I01965,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",2.8079,13
I01965,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3.4500,13
I01965,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",0.9623,12
I01965,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",4.9720,12
I01965,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2.8397,13
I01965,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",3.3983,19
I01965,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",3.6855,19
I01965,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",3.1601,13
I01965,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",3.5756,13
I01965,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",4.3438,13
I01965,RNZ,"SALISBURY NHS FOUNDATION TRUST",3.2601,19
I01965,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",4.0827,13
I01965,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3.4587,19
I01965,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",3.4732,13
I01965,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",3.8851,19
I01965,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",3.6124,13
I01965,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",4.2179,12
I01965,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",3.5975,11
I01965,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.4331,19
I01965,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",2.8740,19
I01965,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.2035,19
I01965,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",4.4234,13
I01965,RWJ,"STOCKPORT NHS FOUNDATION TRUST",3.3756,13
I01965,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",4.4023,19
I01965,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",4.1852,19
I01965,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",3.0444,19
I01965,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",4.0203,19
