INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,ENG,"ENGLAND",3.9745,19
I01966,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4.5326,19
I01966,RCF,"AIREDALE NHS FOUNDATION TRUST",3.9582,13
I01966,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",4.5757,11
I01966,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",4.1591,13
I01966,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",3.5362,19
I01966,R1H,"BARTS HEALTH NHS TRUST",3.7841,19
I01966,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.0388,13
I01966,RC1,"BEDFORD HOSPITAL NHS TRUST",4.1342,19
I01966,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",4.8376,13
I01966,RMC,"BOLTON NHS FOUNDATION TRUST",4.2200,19
I01966,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",3.0101,15
I01966,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",3.9129,13
I01966,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",3.1802,19
I01966,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",3.1799,13
I01966,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",3.8530,15
I01966,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.5249,19
I01966,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.1170,12
I01966,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",3.7667,19
I01966,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",3.4697,19
I01966,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",3.8448,12
I01966,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",5.2387,19
I01966,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",2.9742,12
I01966,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3.5908,13
