INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,"ENGLAND",1087706,8865155,12.2695
I01964,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",7619,48110,15.8366
I01964,RCF,"AIREDALE NHS FOUNDATION TRUST",3738,34704,10.7711
I01964,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",3725,41008,9.0836
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12251,84025,14.5802
I01964,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5889,42754,13.7741
I01964,R1H,"BARTS HEALTH NHS TRUST",17809,155810,11.4299
I01964,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4402,54390,8.0934
I01964,RC1,"BEDFORD HOSPITAL NHS TRUST",3700,32967,11.2233
I01964,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6903,56960,12.1190
I01964,RMC,"BOLTON NHS FOUNDATION TRUST",6881,64883,10.6052
I01964,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",11102,75180,14.7672
I01964,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",8492,70469,12.0507
I01964,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",6121,58084,10.5382
I01964,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",6079,41941,14.4942
I01964,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",8513,68899,12.3558
I01964,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",8468,81197,10.4290
I01964,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",9967,103941,9.5891
I01964,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",14770,88535,16.6827
I01964,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5964,48882,12.2008
I01964,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",4115,57057,7.2121
I01964,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",7547,57572,13.1088
I01964,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",5191,47961,10.8234
I01964,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",9664,82292,11.7435
I01964,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",6153,45040,13.6612
I01964,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",7520,57956,12.9754
I01964,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",8472,87715,9.6586
I01964,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",10441,77052,13.5506
I01964,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",4810,31678,15.1840
I01964,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",10143,68652,14.7745
I01964,RJN,"EAST CHESHIRE NHS TRUST",1991,20517,9.7041
I01964,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",15283,110263,13.8605
I01964,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",8282,80556,10.2810
I01964,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",7107,53716,13.2307
I01964,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",7718,60646,12.7263
I01964,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",18197,124036,14.6707
I01964,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",4420,36036,12.2655
I01964,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",2624,22267,11.7843
I01964,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",10143,86610,11.7111
I01964,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",7892,56713,13.9157
I01964,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",6455,87031,7.4169
I01964,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",6500,58609,11.0904
I01964,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3653,26173,13.9571
I01964,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",27697,186851,14.8230
I01964,RQQ,"HINCHINGBROOKE HEALTH CARE NHS TRUST",3162,23902,13.2290
I01964,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3856,43594,8.8453
I01964,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",7401,83523,8.8610
I01964,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",11373,110276,10.3132
I01964,RGQ,"IPSWICH HOSPITAL NHS TRUST",7663,54430,14.0786
I01964,R1F,"ISLE OF WIGHT NHS TRUST",1831,17553,10.4313
I01964,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3341,30253,11.0435
