INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-0.9758,0.26,14.0909,1,0.0002
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.7432,1906.5516,0.0001,1,0.9942
I00699,1,AGE_GROUP_2,-13.8277,1325.9179,0.0001,1,0.9917
I00699,1,AGE_GROUP_3,-13.6455,1288.4168,0.0001,1,0.9915
I00699,1,AGE_GROUP_4,-13.8787,1249.7258,0.0001,1,0.9911
I00699,1,AGE_GROUP_5,-13.9387,734.9494,0.0004,1,0.9849
I00699,1,AGE_GROUP_6,-13.9236,537.0314,0.0007,1,0.9793
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.8383,0.4683,3.2046,1,0.0734
I00699,1,AGE_GROUP_9,1.1444,0.4535,6.3682,1,0.0116
I00699,1,AGE_GROUP_10,0.2507,0.5734,0.1911,1,0.662
I00699,1,AGE_GROUP_11,1.4579,0.4386,11.049,1,0.0009
I00699,1,AGE_GROUP_12,1.8923,0.4229,20.0182,1,0
I00699,1,AGE_GROUP_13,1.9131,0.4253,20.2361,1,0
I00699,1,AGE_GROUP_14,2.3138,0.4145,31.1616,1,0
I00699,1,AGE_GROUP_15,2.3658,0.4118,33.0032,1,0
I00699,1,AGE_GROUP_16,2.6058,0.4087,40.6525,1,0
I00699,1,AGE_GROUP_17,2.8047,0.4033,48.3578,1,0
I00699,1,AGE_GROUP_18,2.9936,0.4078,53.8897,1,0
I00699,1,AGE_GROUP_19,3.4854,0.4284,66.1798,1,0
I00699,1,AGE_GROUP_20,4.0321,0.48,70.5706,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.4701,0.1768,7.0699,1,0.0078
I00699,1,CHARLSON_INDEX_3,1.1728,0.1589,54.4525,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.1043,0.1305,0.6382,1,0.4243
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-5.0084,0.3744,178.9484,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.1674,0.1602,1.0918,1,0.2961
I00699,1,YEAR_INDEX_3,-0.0047,0.1485,0.001,1,0.9749
I00699,2,ADMIMETH_1,-0.604,0.0493,150.2711,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.848,0.1813,450.2547,1,0
I00699,2,AGE_GROUP_2,-3.3006,0.1733,362.6333,1,0
I00699,2,AGE_GROUP_3,-2.9624,0.2154,189.1361,1,0
I00699,2,AGE_GROUP_4,-2.663,0.2612,103.9199,1,0
I00699,2,AGE_GROUP_5,-2.7661,0.2157,164.4607,1,0
I00699,2,AGE_GROUP_6,-2.404,0.1571,234.02,1,0
I00699,2,AGE_GROUP_7,-2.3516,0.1457,260.3474,1,0
I00699,2,AGE_GROUP_8,-1.9236,0.1025,352.4129,1,0
I00699,2,AGE_GROUP_9,-1.7879,0.0914,382.9082,1,0
I00699,2,AGE_GROUP_10,-1.5028,0.0669,504.3171,1,0
I00699,2,AGE_GROUP_11,-1.2444,0.05,619.0966,1,0
I00699,2,AGE_GROUP_12,-1.08,0.0419,664.8827,1,0
I00699,2,AGE_GROUP_13,-0.8757,0.0358,599.9566,1,0
I00699,2,AGE_GROUP_14,-0.6931,0.0307,510.8187,1,0
I00699,2,AGE_GROUP_15,-0.4668,0.0261,318.9266,1,0
I00699,2,AGE_GROUP_16,-0.2314,0.0249,86.6403,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4701,0.0224,440.1149,1,0
I00699,2,AGE_GROUP_19,0.7891,0.0228,1199.3581,1,0
I00699,2,AGE_GROUP_20,1.1409,0.0243,2212.4911,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0854,0.0269,10.09,1,0.0015
I00699,2,CHARLSON_INDEX_3,0.4799,0.0186,663.1313,1,0
I00699,2,GENDER_1,-0.0408,0.0128,10.1556,1,0.0014
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.5774,0.0256,3806.1315,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
