INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,"ENGLAND",292307,60048,59216,60120,57999,50746,4178,20.5428,20.2582,20.5674,19.8418,17.3605,1.4293
I00743,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2063,1211,270,278,185,108,11,58.7009,13.0877,13.4755,8.9675,5.2351,0.5332
I00743,RCF,"AIREDALE NHS FOUNDATION TRUST",1064,155,114,255,336,204,0,14.5677,10.7143,23.9662,31.5789,19.1729,0.0000
I00743,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1862,*,155,321,372,998,*,*,8.3244,17.2395,19.9785,53.5983,*
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3296,510,994,814,669,288,21,15.4733,30.1578,24.6966,20.2973,8.7379,0.6371
I00743,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1470,491,491,295,139,45,9,33.4014,33.4014,20.0680,9.4558,3.0612,0.6122
I00743,R1H,"BARTS HEALTH NHS TRUST",3725,1975,812,396,273,188,81,53.0201,21.7987,10.6309,7.3289,5.0470,2.1745
I00743,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2224,331,598,505,346,436,8,14.8831,26.8885,22.7068,15.5576,19.6043,0.3597
I00743,RC1,"BEDFORD HOSPITAL NHS TRUST",1167,*,261,163,290,367,*,*,22.3650,13.9674,24.8500,31.4482,*
I00743,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2439,641,497,503,439,350,9,26.2813,20.3772,20.6232,17.9992,14.3501,0.3690
I00743,RMC,"BOLTON NHS FOUNDATION TRUST",1760,805,369,216,231,132,7,45.7386,20.9659,12.2727,13.1250,7.5000,0.3977
I00743,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1802,838,395,316,134,96,23,46.5039,21.9201,17.5361,7.4362,5.3274,1.2764
I00743,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2500,281,481,582,523,621,12,11.2400,19.2400,23.2800,20.9200,24.8400,0.4800
I00743,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1572,*,226,230,275,833,*,*,14.3766,14.6310,17.4936,52.9898,*
I00743,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1307,131,252,350,363,211,0,10.0230,19.2808,26.7789,27.7735,16.1438,0.0000
I00743,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2358,616,574,380,484,297,7,26.1238,24.3427,16.1154,20.5259,12.5954,0.2969
I00743,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2285,62,248,371,646,875,83,2.7133,10.8534,16.2363,28.2713,38.2932,3.6324
I00743,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1597,161,545,422,311,113,45,10.0814,34.1265,26.4245,19.4740,7.0758,2.8178
I00743,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1930,348,543,344,439,*,*,18.0311,28.1347,17.8238,22.7461,*,*
I00743,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2109,985,525,294,242,53,10,46.7046,24.8933,13.9403,11.4746,2.5130,0.4742
I00743,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2314,*,573,669,548,264,*,*,24.7623,28.9110,23.6819,11.4088,*
I00743,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1550,298,155,174,239,403,281,19.2258,10.0000,11.2258,15.4194,26.0000,18.1290
I00743,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3008,877,917,499,341,362,12,29.1556,30.4854,16.5891,11.3364,12.0346,0.3989
I00743,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1282,222,377,324,218,111,30,17.3167,29.4072,25.2730,17.0047,8.6583,2.3401
I00743,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1543,*,352,319,399,322,*,*,22.8127,20.6740,25.8587,20.8684,*
I00743,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3279,519,601,761,673,688,37,15.8280,18.3288,23.2083,20.5246,20.9820,1.1284
I00743,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2822,992,714,592,455,*,*,35.1524,25.3012,20.9780,16.1233,*,*
I00743,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1135,110,229,432,296,*,*,9.6916,20.1762,38.0617,26.0793,*,*
I00743,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2395,66,342,610,580,778,19,2.7557,14.2797,25.4697,24.2171,32.4843,0.7933
I00743,RJN,"EAST CHESHIRE NHS TRUST",925,*,125,178,171,401,*,*,13.5135,19.2432,18.4865,43.3514,*
I00743,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4214,673,927,1084,1208,307,15,15.9706,21.9981,25.7238,28.6664,7.2852,0.3560
I00743,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2734,1079,678,339,460,171,7,39.4660,24.7988,12.3994,16.8252,6.2546,0.2560
I00743,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2635,393,766,700,580,189,7,14.9146,29.0702,26.5655,22.0114,7.1727,0.2657
I00743,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1993,*,265,401,453,821,*,*,13.2965,20.1204,22.7296,41.1942,*
I00743,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3522,100,349,625,720,1703,25,2.8393,9.9091,17.7456,20.4429,48.3532,0.7098
I00743,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1505,575,430,138,281,72,9,38.2060,28.5714,9.1694,18.6711,4.7841,0.5980
I00743,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",962,153,267,229,197,*,*,15.9044,27.7547,23.8046,20.4782,*,*
I00743,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3177,247,351,887,806,863,23,7.7746,11.0482,27.9194,25.3698,27.1640,0.7240
I00743,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1720,*,195,295,483,604,*,*,11.3372,17.1512,28.0814,35.1163,*
I00743,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1467,439,542,196,148,109,33,29.9250,36.9461,13.3606,10.0886,7.4301,2.2495
I00743,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2006,*,237,325,442,989,*,*,11.8146,16.2014,22.0339,49.3021,*
I00743,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",900,*,52,172,274,374,*,*,5.7778,19.1111,30.4444,41.5556,*
I00743,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",4567,1611,786,670,725,701,74,35.2748,17.2104,14.6705,15.8748,15.3492,1.6203
I00743,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",599,487,94,9,*,*,6,81.3022,15.6928,1.5025,*,*,1.0017
I00743,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3461,1168,*,559,603,610,*,33.7475,*,16.1514,17.4227,17.6250,*
I00743,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2218,612,733,430,304,94,45,27.5924,33.0478,19.3868,13.7060,4.2381,2.0289
I00743,RGQ,"IPSWICH HOSPITAL NHS TRUST",1988,198,207,336,715,525,7,9.9598,10.4125,16.9014,35.9658,26.4085,0.3521
I00743,R1F,"ISLE OF WIGHT NHS TRUST",973,61,303,389,167,*,*,6.2693,31.1408,39.9794,17.1634,*,*
I00743,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1629,281,383,535,367,*,*,17.2498,23.5114,32.8422,22.5292,*,*
