INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",292307,207802,84505,71.0903,28.9097
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2063,1578,485,76.4905,23.5095
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1064,675,389,63.4398,36.5602
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1862,1355,507,72.7712,27.2288
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3296,2408,888,73.0583,26.9417
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1470,965,505,65.6463,34.3537
I00733,R1H,"BARTS HEALTH NHS TRUST",3725,2891,834,77.6107,22.3893
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2224,1688,536,75.8993,24.1007
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1167,800,367,68.5518,31.4482
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2439,1750,689,71.7507,28.2493
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1760,1233,527,70.0568,29.9432
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1802,1177,625,65.3163,34.6837
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2500,1714,786,68.5600,31.4400
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1572,1145,427,72.8372,27.1628
I00733,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1307,942,365,72.0735,27.9265
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2358,1619,739,68.6599,31.3401
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2285,1602,683,70.1094,29.8906
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1597,1225,372,76.7063,23.2937
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1930,1298,632,67.2539,32.7461
I00733,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2109,1544,565,73.2101,26.7899
I00733,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2314,1656,658,71.5644,28.4356
I00733,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1550,1131,419,72.9677,27.0323
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3008,1953,1055,64.9269,35.0731
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1282,953,329,74.3370,25.6630
I00733,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1543,1111,432,72.0026,27.9974
I00733,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3279,2319,960,70.7228,29.2772
I00733,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2822,1877,945,66.5131,33.4869
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1135,757,378,66.6960,33.3040
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2395,1672,723,69.8121,30.1879
I00733,RJN,"EAST CHESHIRE NHS TRUST",925,622,303,67.2432,32.7568
I00733,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4214,2760,1454,65.4960,34.5040
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2734,1930,804,70.5925,29.4075
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2635,1782,853,67.6281,32.3719
I00733,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1993,1451,542,72.8048,27.1952
I00733,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3522,2597,925,73.7365,26.2635
I00733,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1505,1074,431,71.3621,28.6379
I00733,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",962,687,275,71.4137,28.5863
I00733,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3177,2010,1167,63.2672,36.7328
I00733,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1720,1261,459,73.3140,26.6860
I00733,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1467,1011,456,68.9162,31.0838
I00733,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2006,1523,483,75.9222,24.0778
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",900,643,257,71.4444,28.5556
I00733,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",4567,3254,1313,71.2503,28.7497
I00733,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",599,440,159,73.4558,26.5442
I00733,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3461,2368,1093,68.4195,31.5805
I00733,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2218,1616,602,72.8584,27.1416
I00733,RGQ,"IPSWICH HOSPITAL NHS TRUST",1988,1404,584,70.6237,29.3763
I00733,R1F,"ISLE OF WIGHT NHS TRUST",973,640,333,65.7760,34.2240
I00733,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1629,1265,364,77.6550,22.3450
I00733,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1726,1214,512,70.3360,29.6640
I00733,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3152,2347,805,74.4607,25.5393
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1183,808,375,68.3009,31.6991
I00733,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2357,1684,673,71.4468,28.5532
I00733,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4096,2891,1205,70.5811,29.4189
I00733,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2436,1844,592,75.6979,24.3021
I00733,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2458,1829,629,74.4101,25.5899
I00733,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1793,1271,522,70.8868,29.1132
I00733,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2402,1729,673,71.9817,28.0183
I00733,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3620,2850,770,78.7293,21.2707
I00733,RPA,"MEDWAY NHS FOUNDATION TRUST",1901,1369,532,72.0147,27.9853
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1558,1066,492,68.4211,31.5789
I00733,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",1951,1401,550,71.8093,28.1907
I00733,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3063,2164,899,70.6497,29.3503
I00733,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1251,864,387,69.0647,30.9353
I00733,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3431,2387,1044,69.5716,30.4284
I00733,RVJ,"NORTH BRISTOL NHS TRUST",2331,1736,595,74.4745,25.5255
I00733,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1868,1199,669,64.1863,35.8137
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1168,886,282,75.8562,24.1438
I00733,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2057,1416,641,68.8381,31.1619
I00733,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2855,1860,995,65.1489,34.8511
I00733,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1910,1411,499,73.8743,26.1257
I00733,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1054,724,330,68.6907,31.3093
I00733,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2546,1699,847,66.7321,33.2679
I00733,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3105,2384,721,76.7794,23.2206
I00733,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4250,3593,657,84.5412,15.4588
I00733,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3194,2369,825,74.1703,25.8297
I00733,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3820,2567,1253,67.1990,32.8010
I00733,RK9,"PLYMOUTH HOSPITALS NHS TRUST",2458,1691,767,68.7958,31.2042
I00733,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1601,1147,454,71.6427,28.3573
I00733,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3174,2277,897,71.7391,28.2609
I00733,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2132,1548,584,72.6079,27.3921
I00733,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2367,1591,776,67.2159,32.7841
I00733,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2167,1590,577,73.3733,26.6267
I00733,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2745,2015,730,73.4062,26.5938
I00733,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",2033,1570,463,77.2258,22.7742
I00733,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1193,786,407,65.8843,34.1157
I00733,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",2095,1528,567,72.9356,27.0644
I00733,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",1867,1386,481,74.2367,25.7633
I00733,RNZ,"SALISBURY NHS FOUNDATION TRUST",1092,834,258,76.3736,23.6264
I00733,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2029,1427,602,70.3302,29.6698
I00733,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3716,2810,906,75.6189,24.3811
I00733,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",2111,1453,658,68.8299,31.1701
I00733,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2725,1694,1031,62.1651,37.8349
I00733,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2826,1997,829,70.6653,29.3347
I00733,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",1133,839,294,74.0512,25.9488
I00733,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1235,812,423,65.7490,34.2510
I00733,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2414,1635,779,67.7299,32.2701
I00733,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1353,915,438,67.6275,32.3725
I00733,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1980,1532,448,77.3737,22.6263
I00733,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",2356,1645,711,69.8217,30.1783
I00733,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1804,1404,400,77.8271,22.1729
I00733,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1977,1413,564,71.4719,28.5281
I00733,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1411,902,509,63.9263,36.0737
I00733,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1745,1131,614,64.8138,35.1862
I00733,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2435,1745,690,71.6632,28.3368
I00733,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1005,765,240,76.1194,23.8806
I00733,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2635,1910,725,72.4858,27.5142
I00733,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",1548,1134,414,73.2558,26.7442
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1723,1179,544,68.4272,31.5728
I00733,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1481,1023,458,69.0749,30.9251
I00733,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2020,1572,448,77.8218,22.1782
I00733,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",2566,1887,679,73.5386,26.4614
I00733,RKE,"THE WHITTINGTON HEALTH NHS TRUST",554,375,179,67.6895,32.3105
I00733,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1808,1249,559,69.0819,30.9181
