INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0285,2,47292,2063,2005.8603,0.9324,1.0709,0.8923,1.1207
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9799,2,34493,1064,1085.8467,0.9088,1.0974,0.8862,1.1284
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9851,2,42591,1862,1890.1438,0.9304,1.0731,0.8919,1.1212
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0386,2,84869,3296,3173.4424,0.9460,1.0561,0.8951,1.1172
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.9990,2,41934,1470,1471.4961,0.9214,1.0832,0.8896,1.1240
I00699,R1H,"BARTS HEALTH NHS TRUST",0.9024,2,154656,3725,4128.0670,0.9526,1.0490,0.8963,1.1157
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0652,2,57986,2224,2087.7891,0.9337,1.0695,0.8926,1.1203
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0270,2,35509,1167,1136.2921,0.9108,1.0951,0.8868,1.1277
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1540,1,56840,2439,2113.5186,0.9341,1.0691,0.8927,1.1202
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0729,2,63703,1760,1640.3588,0.9254,1.0787,0.8907,1.1227
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9256,2,76657,1802,1946.7579,0.9314,1.0720,0.8921,1.1209
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",1.0002,2,71388,2500,2499.5814,0.9393,1.0634,0.8938,1.1188
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9475,2,56718,1572,1659.0200,0.9258,1.0782,0.8908,1.1226
I00699,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1.0060,2,43282,1307,1299.1848,0.9165,1.0887,0.8883,1.1257
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.0187,2,66678,2358,2314.7621,0.9370,1.0659,0.8933,1.1194
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8465,3,74366,2285,2699.4730,0.9416,1.0609,0.8943,1.1182
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.8174,3,89580,1597,1953.7706,0.9315,1.0719,0.8921,1.1209
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1.0122,2,49924,1930,1906.8052,0.9307,1.0728,0.8919,1.1212
I00699,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",1.0131,2,56487,2109,2081.6605,0.9336,1.0696,0.8926,1.1203
