INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7405,1217102,0.6084
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",69,6644,1.0385
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",20,2849,0.7020
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",27,6180,0.4369
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",65,7818,0.8314
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",18,3631,0.4957
I00731,R1H,"BARTS HEALTH NHS TRUST",129,23140,0.5575
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",60,5993,1.0012
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",23,2915,0.7890
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",44,6821,0.6451
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",43,4569,0.9411
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",36,6440,0.5590
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",70,10662,0.6565
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",25,5743,0.4353
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",16,5757,0.2779
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",59,15551,0.3794
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",50,8356,0.5984
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",13,4229,0.3074
I00731,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",52,11239,0.4627
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",40,4398,0.9095
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",33,7110,0.4641
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",7,2983,0.2347
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",48,11728,0.4093
I00731,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",39,9055,0.4307
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",31,3869,0.8012
I00731,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",40,9209,0.4344
I00731,RJN,"EAST CHESHIRE NHS TRUST",13,1373,0.9468
I00731,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",105,15835,0.6631
I00731,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",66,10347,0.6379
I00731,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",95,13160,0.7219
I00731,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",44,6470,0.6801
I00731,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",25,8478,0.2949
I00731,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",87,15990,0.5441
I00731,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",61,4741,1.2866
I00731,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,*,0.2637
I00731,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",61,13958,0.4370
I00731,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",41,6628,0.6186
I00731,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",212,28123,0.7538
I00731,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",27,7620,0.3543
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",18,3634,0.4953
I00731,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",20,3061,0.6534
I00731,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",131,15888,0.8245
I00731,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",125,19565,0.6389
I00731,R1F,"ISLE OF WIGHT NHS TRUST",*,*,0.3224
I00731,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",33,3908,0.8444
I00731,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",27,4631,0.5830
I00731,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",111,23257,0.4773
I00731,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",11,3776,0.2913
I00731,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",100,10728,0.9321
I00731,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",163,25226,0.6462
I00731,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",12,4259,0.2818
I00731,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",49,10158,0.4824
I00731,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",34,7760,0.4381
I00731,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",52,6427,0.8091
I00731,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",193,33946,0.5686
I00731,RPA,"MEDWAY NHS FOUNDATION TRUST",8,6519,0.1227
I00731,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",14,3081,0.4544
I00731,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",58,8289,0.6997
I00731,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",37,8349,0.4432
I00731,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",24,3607,0.6654
I00731,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",73,14032,0.5202
I00731,RVJ,"NORTH BRISTOL NHS TRUST",34,12579,0.2703
I00731,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",24,5104,0.4702
I00731,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",18,2118,0.8499
I00731,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",26,6536,0.3978
I00731,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",30,10762,0.2788
I00731,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",31,5179,0.5986
I00731,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",16,4199,0.3810
I00731,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",40,6355,0.6294
I00731,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",21,6516,0.3223
I00731,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",171,21482,0.7960
I00731,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",85,20789,0.4089
I00731,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",74,11327,0.6533
I00731,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",23,3417,0.6731
I00731,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",63,10914,0.5772
I00731,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",16,6780,0.2360
I00731,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",78,9147,0.8527
I00731,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",180,12788,1.4076
I00731,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",104,13638,0.7626
I00731,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",63,8159,0.7722
I00731,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",60,8361,0.7176
I00731,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",23,5674,0.4054
I00731,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",48,8361,0.5741
I00731,RNZ,"SALISBURY NHS FOUNDATION TRUST",21,5345,0.3929
I00731,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",38,6539,0.5811
I00731,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",151,23876,0.6324
I00731,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",24,5830,0.4117
I00731,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",66,5580,1.1828
I00731,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",125,17857,0.7000
I00731,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",127,1336,9.5060
I00731,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",24,4301,0.5580
I00731,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",51,7827,0.6516
I00731,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",20,2739,0.7302
I00731,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",87,18661,0.4662
I00731,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",33,7109,0.4642
I00731,RWJ,"STOCKPORT NHS FOUNDATION TRUST",13,6617,0.1965
I00731,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",20,5479,0.3650
I00731,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",12,2614,0.4591
I00731,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",30,8068,0.3718
I00731,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",39,5749,0.6784
I00731,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",21,3014,0.6967
I00731,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",148,27343,0.5413
I00731,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",11,4106,0.2679
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",14,5184,0.2701
I00731,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",31,5592,0.5544
I00731,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",79,10853,0.7279
I00731,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",50,7188,0.6956
I00731,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",68,3603,1.8873
I00731,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",65,9596,0.6774
I00731,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",135,23190,0.5821
I00731,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",101,19370,0.5214
I00731,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",216,54153,0.3989
I00731,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",254,14747,1.7224
I00731,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",110,14005,0.7854
I00731,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",92,16415,0.5605
I00731,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",116,20031,0.5791
I00731,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",46,5622,0.8182
I00731,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",118,14075,0.8384
I00731,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",94,10796,0.8707
I00731,RBK,"WALSALL HEALTHCARE NHS TRUST",17,3386,0.5021
