INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,"ENGLAND",292814,7844797,3.7326
I00732,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2194,50039,4.3846
I00732,RCF,"AIREDALE NHS FOUNDATION TRUST",997,29818,3.3436
I00732,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1679,35670,4.7070
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3181,79465,4.0030
I00732,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1560,39677,3.9317
I00732,R1H,"BARTS HEALTH NHS TRUST",3723,144456,2.5773
I00732,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2234,65907,3.3896
I00732,RC1,"BEDFORD HOSPITAL NHS TRUST",1249,33501,3.7282
I00732,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2414,48536,4.9736
I00732,RMC,"BOLTON NHS FOUNDATION TRUST",1753,56108,3.1243
I00732,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1954,85928,2.2740
I00732,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2279,59405,3.8364
I00732,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1673,52548,3.1838
I00732,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2544,64366,3.9524
I00732,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2288,58613,3.9036
I00732,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1593,83616,1.9051
I00732,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1937,46679,4.1496
