INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,Tuberculosis,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0095
I00699,1,Tuberculosis,RCF,AIREDALE NHS FOUNDATION TRUST,*,*,0.2522
I00699,1,Tuberculosis,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,0,0.0313
I00699,1,Tuberculosis,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",40,0,1.1385
I00699,1,Tuberculosis,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0471
I00699,1,Tuberculosis,R1H,BARTS HEALTH NHS TRUST,104,*,4.2312
I00699,1,Tuberculosis,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.0877
I00699,1,Tuberculosis,RC1,BEDFORD HOSPITAL NHS TRUST,*,0,0.0708
I00699,1,Tuberculosis,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,*,*,0.4168
I00699,1,Tuberculosis,RMC,BOLTON NHS FOUNDATION TRUST,14,0,0.4498
I00699,1,Tuberculosis,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,36,*,1.5728
I00699,1,Tuberculosis,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,14,0,0.6966
I00699,1,Tuberculosis,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,16,0,0.3195
I00699,1,Tuberculosis,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,11,*,0.7919
I00699,1,Tuberculosis,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17,0,0.2352
I00699,1,Tuberculosis,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,37,0,0.7935
I00699,1,Tuberculosis,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.1089
I00699,1,Tuberculosis,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,*,0,0.1975
I00699,1,Tuberculosis,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6,0,0.2314
I00699,1,Tuberculosis,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,*,0,0.3729
I00699,1,Tuberculosis,RJ6,CROYDON HEALTH SERVICES NHS TRUST,17,0,0.3784
I00699,1,Tuberculosis,RN7,DARTFORD AND GRAVESHAM NHS TRUST,14,0,0.7535
I00699,1,Tuberculosis,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,*,0,0.2696
I00699,1,Tuberculosis,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0825
I00699,1,Tuberculosis,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,*,0,0.0168
