INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,ENGLAND,278064,8111164,3.4
I00732,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1975,56745,3.5
I00732,RCF,AIREDALE NHS FOUNDATION TRUST,965,30635,3.2
I00732,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1635,36360,4.5
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2855,77305,3.7
I00732,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1560,43610,3.6
I00732,R1H,BARTS HEALTH NHS TRUST,3505,153555,2.3
I00732,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2065,72755,2.8
I00732,RC1,BEDFORD HOSPITAL NHS TRUST,1265,33630,3.8
I00732,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2275,47985,4.7
I00732,RMC,BOLTON NHS FOUNDATION TRUST,1710,56145,3
I00732,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1830,91085,2
I00732,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2260,58480,3.9
I00732,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1545,59045,2.6
I00732,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2255,65375,3.4
I00732,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2080,60840,3.4
I00732,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1520,88250,1.7
I00732,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1770,47490,3.7
I00732,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1435,43785,3.3
I00732,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2935,76120,3.9
I00732,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1255,34005,3.7
I00732,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1470,46305,3.2
I00732,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2675,64125,4.2
I00732,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1065,26025,4.1
I00732,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2140,59640,3.6
I00732,RJN,EAST CHESHIRE NHS TRUST,900,18115,5
I00732,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3930,93955,4.2
I00732,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2615,75925,3.4
I00732,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,4335,97795,4.4
I00732,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2480,57230,4.3
I00732,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1875,55695,3.4
I00732,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3475,114280,3
I00732,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1325,28595,4.6
I00732,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1085,22040,4.9
I00732,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2930,77360,3.8
I00732,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1680,55950,3
I00732,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1290,67075,1.9
I00732,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2040,58465,3.5
I00732,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,925,23965,3.9
I00732,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,495,42475,1.2
I00732,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3205,69220,4.6
I00732,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1980,90150,2.2
I00732,R1F,ISLE OF WIGHT NHS TRUST,835,15900,5.3
I00732,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1660,29700,5.6
I00732,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1675,48130,3.5
I00732,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3065,90235,3.4
I00732,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1140,55615,2
I00732,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2170,68295,3.2
I00732,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,4040,98850,4.1
I00732,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2215,87050,2.5
