INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,ENGLAND,46143,8520937,0.5
I01963,RCF,AIREDALE NHS FOUNDATION TRUST,*,29500,*
I01963,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,45,40610,0.1
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",*,76775,*
I01963,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,43365,*
I01963,R1H,BARTS HEALTH NHS TRUST,585,157890,0.4
I01963,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,*,107905,*
I01963,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,15,51295,0
I01963,RMC,BOLTON NHS FOUNDATION TRUST,385,54890,0.7
I01963,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,180,83825,0.2
I01963,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,20,64960,0
I01963,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,965,56965,1.7
I01963,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,*,64550,*
I01963,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30,66495,0
I01963,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,455,87780,0.5
I01963,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,10,47360,0
I01963,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,125,43540,0.3
I01963,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,0,70110,0
I01963,RJ6,CROYDON HEALTH SERVICES NHS TRUST,25,31695,0.1
I01963,RN7,DARTFORD AND GRAVESHAM NHS TRUST,235,53030,0.4
I01963,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,*,66595,*
I01963,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,455,26430,1.7
I01963,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,*,61135,*
I01963,RJN,EAST CHESHIRE NHS TRUST,*,17305,*
I01963,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,105,98610,0.1
I01963,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,10,83150,0
I01963,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,275,101790,0.3
I01963,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,225,59105,0.4
I01963,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,15,54150,0
I01963,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,60,107795,0.1
I01963,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,*,29975,*
I01963,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,50,22030,0.2
