INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,ENGLAND,81344,8520937,1
I02038,RCF,AIREDALE NHS FOUNDATION TRUST,0,29500,0
I02038,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,445,40610,1.1
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",865,76775,1.1
I02038,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0,43365,0
I02038,R1H,BARTS HEALTH NHS TRUST,265,157890,0.2
I02038,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,110,107905,0.1
I02038,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1155,51295,2.3
I02038,RMC,BOLTON NHS FOUNDATION TRUST,0,54890,0
I02038,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,585,83825,0.7
I02038,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,670,64960,1
I02038,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,760,56965,1.3
I02038,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,375,64550,0.6
I02038,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,285,66495,0.4
I02038,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0,87780,0
I02038,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0,47360,0
I02038,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,560,43540,1.3
I02038,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1775,70110,2.5
I02038,RJ6,CROYDON HEALTH SERVICES NHS TRUST,0,31695,0
I02038,RN7,DARTFORD AND GRAVESHAM NHS TRUST,*,53030,*
I02038,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1085,66595,1.6
I02038,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0,26430,0
I02038,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0,61135,0
I02038,RJN,EAST CHESHIRE NHS TRUST,0,17305,0
I02038,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1920,98610,1.9
I02038,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2350,83150,2.8
I02038,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1025,101790,1
I02038,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,0,59105,0
I02038,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,420,54150,0.8
I02038,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,445,107795,0.4
I02038,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,0,29975,0
I02038,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,0,22030,0
I02038,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1435,85470,1.7
I02038,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,0,55520,0
I02038,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,430,83840,0.5
I02038,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,935,63260,1.5
I02038,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,255,25640,1
I02038,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,41580,*
I02038,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1460,75595,1.9
I02038,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,485,97725,0.5
I02038,R1F,ISLE OF WIGHT NHS TRUST,0,17850,0
I02038,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0,29085,0
I02038,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,*,43975,*
I02038,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,*,98470,*
