INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00731,R1F,ISLE OF WIGHT NHS TRUST,7,3330,0.2102
I00731,R1H,BARTS HEALTH NHS TRUST,142,19510,0.7278
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,87,15776,0.5515
I00731,RA3,WESTON AREA HEALTH NHS TRUST,8,1747,0.4579
I00731,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,21,3437,0.611
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,201,15987,1.2573
I00731,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,52,5668,0.9174
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,69,12227,0.5643
I00731,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,58,8337,0.6957
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,100,9622,1.0393
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,12,2368,0.5068
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,20,3537,0.5655
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,18,3813,0.4721
I00731,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51,8766,0.5818
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30,5121,0.5858
I00731,RBK,WALSALL HEALTHCARE NHS TRUST,23,4461,0.5156
I00731,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,29,8464,0.3426
I00731,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,28,8578,0.3264
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,14,3915,0.3576
I00731,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,27,3747,0.7206
I00731,RC1,BEDFORD HOSPITAL NHS TRUST,27,3772,0.7158
I00731,RC3,EALING HOSPITAL NHS TRUST,12,2033,0.5903
I00731,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41,7945,0.516
I00731,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,60,10498,0.5715
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,25,4486,0.5573
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,27,3273,0.8249
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",29,4922,0.5892
I00731,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,29,6175,0.4696
I00731,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,26,4119,0.6312
I00731,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,40,7299,0.548
I00731,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,20,4208,0.4753
I00731,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,46,6704,0.6862
I00731,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,41,7460,0.5496
I00731,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,43,8804,0.4884
I00731,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,74,11614,0.6372
I00731,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,139,1928,7.2095
I00731,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,78,11257,0.6929
I00731,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,88,8924,0.9861
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",70,7971,0.8782
I00731,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,19,4507,0.4216
I00731,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,44,7412,0.5936
I00731,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,26,4470,0.5817
I00731,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,17,2275,0.7473
I00731,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,18,7985,0.2254
I00731,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,54,4993,1.0815
I00731,RGQ,IPSWICH HOSPITAL NHS TRUST,61,7244,0.8421
I00731,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,10,4291,0.233
I00731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,112,18299,0.6121
I00731,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,110,13960,0.788
I00731,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,118,19615,0.6016
I00731,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,180,24404,0.7376
I00731,RHU,PORTSMOUTH HOSPITALS NHS TRUST,64,13714,0.4667
I00731,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,42,11578,0.3628
I00731,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,202,25919,0.7794
I00731,RJ2,LEWISHAM AND GREENWICH NHS TRUST,26,4462,0.5827
I00731,RJ6,CROYDON HEALTH SERVICES NHS TRUST,19,3232,0.5879
I00731,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,103,24012,0.429
I00731,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,23,4938,0.4658
I00731,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,30,4063,0.7384
I00731,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,120,12592,0.953
I00731,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,24,4970,0.4829
I00731,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,70,8828,0.7929
I00731,RJN,EAST CHESHIRE NHS TRUST,11,2192,0.5018
I00731,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,35,5792,0.6043
I00731,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,122,17691,0.6896
I00731,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,27,6807,0.3967
I00731,RK9,PLYMOUTH HOSPITALS NHS TRUST,102,14423,0.7072
I00731,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,86,15083,0.5702
I00731,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,*,*,0.1639
I00731,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,67,8472,0.7908
I00731,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,57,14285,0.399
I00731,RLQ,WYE VALLEY NHS TRUST,39,6421,0.6074
I00731,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,9,3243,0.2775
I00731,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,77,16849,0.457
I00731,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,108,14702,0.7346
I00731,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,63,10822,0.5821
I00731,RMC,BOLTON NHS FOUNDATION TRUST,37,6474,0.5715
I00731,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,20,3280,0.6098
I00731,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,36,7112,0.5062
I00731,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,49,11729,0.4178
I00731,RN7,DARTFORD AND GRAVESHAM NHS TRUST,43,12943,0.3322
I00731,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,54,7357,0.734
I00731,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,28,7459,0.3754
I00731,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,19,5512,0.3447
I00731,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,80,7713,1.0372
I00731,RNZ,SALISBURY NHS FOUNDATION TRUST,37,6652,0.5562
I00731,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,49,10747,0.4559
I00731,RPA,MEDWAY NHS FOUNDATION TRUST,43,8644,0.4975
I00731,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,89,9935,0.8958
I00731,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,35,10654,0.3285
I00731,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,43,5792,0.7424
I00731,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,14,3705,0.3779
I00731,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,22,4363,0.5042
I00731,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,42,3334,1.2597
I00731,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,73,17106,0.4268
I00731,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,78,5562,1.4024
I00731,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,199,29793,0.6679
I00731,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",22,7482,0.294
I00731,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,116,17735,0.6541
I00731,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,165,24808,0.6651
I00731,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,163,30404,0.5361
I00731,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,108,13404,0.8057
I00731,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,114,8229,1.3853
I00731,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,110,14383,0.7648
I00731,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,116,23662,0.4902
I00731,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,38,6053,0.6278
I00731,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,14,4914,0.2849
I00731,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,143,18491,0.7733
I00731,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,42,7654,0.5487
I00731,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,47,9989,0.4705
I00731,RVJ,NORTH BRISTOL NHS TRUST,35,14300,0.2448
I00731,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,18,6655,0.2705
I00731,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,36,8852,0.4067
I00731,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,76,16880,0.4502
I00731,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,28,6004,0.4664
