INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00743,R1F,ISLE OF WIGHT NHS TRUST,901,*,258,402,147,52,*,*,28.63485017,44.61709212,16.31520533,5.77136515,*
I00743,R1H,BARTS HEALTH NHS TRUST,3666,1971,775,362,264,176,118,53.76432079,21.14020731,9.87452264,7.201309329,4.800872886,3.218767049
I00743,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1290,*,57,143,338,741,*,*,4.418604651,11.08527132,26.20155039,57.44186047,*
I00743,RA3,WESTON AREA HEALTH NHS TRUST,960,169,139,193,340,*,*,17.60416667,14.47916667,20.10416667,35.41666667,*,*
I00743,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,925,25,75,292,414,111,8,2.702702703,8.108108108,31.56756757,44.75675676,12,0.864864865
I00743,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1772,365,387,312,309,360,39,20.59819413,21.83972912,17.60722348,17.43792325,20.31602709,2.200902935
I00743,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1589,183,487,465,365,79,10,11.51667716,30.64820642,29.26368785,22.97042165,4.971680302,0.629326621
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1855,875,394,310,143,98,35,47.16981132,21.23989218,16.7115903,7.708894879,5.283018868,1.886792453
I00743,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2134,311,396,484,416,514,13,14.57357076,18.55670103,22.68041237,19.49390815,24.08622306,0.60918463
I00743,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1182,226,270,316,254,86,30,19.12013536,22.84263959,26.73434856,21.48900169,7.275803723,2.538071066
I00743,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,829,416,210,112,43,25,23,50.18094089,25.33172497,13.51025332,5.186972256,3.015681544,2.774427021
I00743,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,993,80,358,247,165,130,13,8.056394763,36.05236657,24.87411883,16.6163142,13.09164149,1.309164149
I00743,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1322,39,139,189,402,529,24,2.950075643,10.51437216,14.29652042,30.40847201,40.01512859,1.815431165
I00743,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1575,119,394,556,288,208,10,7.555555556,25.01587302,35.3015873,18.28571429,13.20634921,0.634920635
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1051,100,206,402,274,*,*,9.514747859,19.60038059,38.24928639,26.07040913,*,*
I00743,RBK,WALSALL HEALTHCARE NHS TRUST,1459,637,349,201,165,90,17,43.66004112,23.92049349,13.77655929,11.30911583,6.168608636,1.165181631
I00743,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2215,688,386,360,352,391,38,31.06094808,17.42663657,16.25282167,15.89164786,17.6523702,1.715575621
I00743,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2141,1038,389,358,193,141,22,48.48201775,18.16907987,16.72115834,9.014479215,6.585707613,1.027557216
I00743,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1434,215,273,254,250,425,17,14.9930265,19.0376569,17.71269177,17.43375174,29.63737796,1.185495119
I00743,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1315,*,320,501,358,68,*,*,24.33460076,38.09885932,27.2243346,5.171102662,*
I00743,RC1,BEDFORD HOSPITAL NHS TRUST,1177,80,259,181,279,372,6,6.796941376,22.00509771,15.37807986,23.70433305,31.6057774,0.509770603
I00743,RC3,EALING HOSPITAL NHS TRUST,658,162,216,213,41,16,10,24.62006079,32.82674772,32.37082067,6.23100304,2.431610942,1.519756839
I00743,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1554,206,362,326,312,312,36,13.25611326,23.29472329,20.97812098,20.07722008,20.07722008,2.316602317
I00743,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3030,320,512,707,710,757,24,10.56105611,16.89768977,23.33333333,23.43234323,24.98349835,0.792079208
I00743,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,850,*,53,171,264,336,*,*,6.235294118,20.11764706,31.05882353,39.52941176,*
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,1019,170,*,198,339,195,*,16.68302257,*,19.43081452,33.26790972,19.13640824,*
