INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,19001,1240,5996,6817,2726,740,1482,6.525972317,31.55623388,35.8770591,14.34661334,3.894531867,7.799589495
I00742,R1H,BARTS HEALTH NHS TRUST,163412,83223,31936,14062,8613,5346,20232,50.9283284,19.5432404,8.605243189,5.270726752,3.27148557,12.38097569
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,46198,244,2603,5831,10329,23614,3577,0.528161392,5.634443049,12.62175852,22.35811074,51.11476687,7.742759427
I00742,RA3,WESTON AREA HEALTH NHS TRUST,16711,3117,2433,3401,5152,2202,406,18.65238466,14.55927234,20.35186404,30.82999222,13.17694931,2.42953743
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24292,927,2460,6957,9165,2981,1802,3.816071135,10.12679071,28.63905813,37.72847028,12.27152972,7.418080026
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,71816,15810,13678,11749,13279,11996,5304,22.01459285,19.04589507,16.3598641,18.49030857,16.7037986,7.385540827
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38883,5263,10827,11013,7132,2020,2628,13.53547823,27.84507368,28.32343183,18.34220611,5.195072397,6.758737752
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74802,37973,13755,9472,4820,2749,6033,50.76468544,18.38854576,12.66276303,6.443677977,3.675035427,8.065292372
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,50116,7624,8864,9718,9064,10709,4137,15.21270652,17.68696624,19.39101285,18.08604039,21.36842525,8.254848751
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,39393,7047,9580,8624,7072,2705,4365,17.88896504,24.31904145,21.89221435,17.9524281,6.866702206,11.08064885
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29625,15520,6980,1962,790,341,4032,52.38818565,23.56118143,6.62278481,2.666666667,1.151054852,13.61012658
