INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,901,646,255,71.6981,28.3019
I00733,R1H,BARTS HEALTH NHS TRUST,3666,2952,714,80.5237,19.4763
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1290,858,432,66.5116,33.4884
I00733,RA3,WESTON AREA HEALTH NHS TRUST,960,651,309,67.8125,32.1875
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,925,584,341,63.1351,36.8649
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1772,1370,402,77.3138,22.6862
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1589,1060,529,66.7086,33.2914
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1855,1270,585,68.4636,31.5364
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2134,1402,732,65.6982,34.3018
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1182,829,353,70.1354,29.8646
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,829,648,181,78.1665,21.8335
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,993,747,246,75.2266,24.7734
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1322,923,399,69.8185,30.1815
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1575,1038,537,65.9048,34.0952
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1051,729,322,69.3625,30.6375
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1459,1101,358,75.4626,24.5374
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2215,1625,590,73.3634,26.6366
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2141,1487,654,69.4535,30.5465
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1434,1060,374,73.9191,26.0809
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1315,946,369,71.9392,28.0608
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1177,858,319,72.8972,27.1028
I00733,RC3,EALING HOSPITAL NHS TRUST,658,500,158,75.9878,24.0122
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1554,1152,402,74.1313,25.8687
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3030,2153,877,71.0561,28.9439
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,850,642,208,75.5294,24.4706
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,1019,693,326,68.0079,31.9921
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1571,1175,396,74.7931,25.2069
I00733,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1929,1423,506,73.7688,26.2312
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1518,1161,357,76.4822,23.5178
I00733,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1443,1073,370,74.359,25.641
I00733,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1168,875,293,74.9144,25.0856
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1947,1483,464,76.1685,23.8315
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2189,1479,710,67.5651,32.4349
