INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,R1F,ISLE OF WIGHT NHS TRUST,19001,0,353,353,0,1.9,1.9
I00720,R1H,BARTS HEALTH NHS TRUST,163412,392,947,1005,0.2,0.6,0.6
I00720,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,46198,0,246,246,0,0.5,0.5
I00720,RA3,WESTON AREA HEALTH NHS TRUST,16711,0,370,370,0,2.2,2.2
I00720,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24292,0,470,470,0,1.9,1.9
I00720,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,71816,40,584,610,0.1,0.8,0.8
I00720,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38883,2,474,474,0,1.2,1.2
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74802,0,487,487,0,0.7,0.7
I00720,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,50116,137,767,778,0.3,1.5,1.6
I00720,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,39393,0,553,553,0,1.4,1.4
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29625,0,527,527,0,1.8,1.8
I00720,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38931,0,394,394,0,1,1
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46481,0,490,490,0,1.1,1.1
I00720,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51824,0,3,3,0,0,0
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28843,0,265,265,0,0.9,0.9
I00720,RBK,WALSALL HEALTHCARE NHS TRUST,43059,1,593,594,0,1.4,1.4
I00720,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63839,0,708,708,0,1.1,1.1
I00720,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,67616,0,764,764,0,1.1,1.1
I00720,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,36419,0,489,489,0,1.3,1.3
I00720,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29600,0,488,488,0,1.6,1.6
I00720,RC1,BEDFORD HOSPITAL NHS TRUST,28378,0,438,438,0,1.5,1.5
I00720,RC3,EALING HOSPITAL NHS TRUST,28976,0,257,257,0,0.9,0.9
I00720,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,60609,0,350,350,0,0.6,0.6
