INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00732,R1F,ISLE OF WIGHT NHS TRUST,782,14824,5.2752
I00732,R1H,BARTS HEALTH NHS TRUST,3314,141286,2.3456
I00732,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2334,86568,2.6961
I00732,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1193,33962,3.5127
I00732,RA3,WESTON AREA HEALTH NHS TRUST,905,17476,5.1785
I00732,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,903,19979,4.5197
I00732,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1493,58640,2.546
I00732,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1586,33659,4.712
I00732,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1603,64848,2.4719
I00732,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1923,43198,4.4516
I00732,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2627,81118,3.2385
I00732,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1190,40296,2.9531
I00732,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,918,35884,2.5582
I00732,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1093,42856,2.5504
I00732,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1472,42316,3.4786
I00732,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1070,24393,4.3865
I00732,RBK,WALSALL HEALTHCARE NHS TRUST,1533,38471,3.9848
I00732,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1988,57501,3.4573
I00732,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1973,56547,3.4891
I00732,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1364,42234,3.2296
I00732,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1202,25288,4.7532
I00732,RC1,BEDFORD HOSPITAL NHS TRUST,1067,24682,4.323
I00732,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1505,55631,2.7053
I00732,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2900,67019,4.3271
I00732,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,872,20720,4.2085
I00732,RCF,AIREDALE NHS FOUNDATION TRUST,968,31045,3.1181
I00732,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1391,35451,3.9237
I00732,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1844,40341,4.571
I00732,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1493,44378,3.3643
