INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00743,R1F,ISLE OF WIGHT NHS TRUST,796,42,252,334,130,38,0,5.3,31.7,42,16.3,4.8,0
I00743,R1H,BARTS HEALTH NHS TRUST,3439,1828,761,362,251,185,52,53.2,22.1,10.5,7.3,5.4,1.5
I00743,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2378,370,793,765,261,173,16,15.6,33.3,32.2,11,7.3,0.7
I00743,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1240,*,45,137,330,724,*,*,3.6,11,26.6,58.4,*
I00743,RA3,WESTON AREA HEALTH NHS TRUST,917,166,151,222,292,*,*,18.1,16.5,24.2,31.8,*,*
I00743,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,924,*,87,306,406,100,*,*,9.4,33.1,43.9,10.8,*
I00743,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1685,356,382,262,313,358,14,21.1,22.7,15.5,18.6,21.2,0.8
I00743,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1632,166,493,500,370,*,*,10.2,30.2,30.6,22.7,*,*
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1657,749,387,291,146,*,*,45.2,23.4,17.6,8.8,*,*
I00743,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2001,*,329,464,397,500,*,*,16.4,23.2,19.8,25,*
I00743,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2727,293,552,764,748,339,31,10.7,20.2,28,27.4,12.4,1.1
I00743,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1208,523,361,159,113,*,*,43.3,29.9,13.2,9.4,*,*
I00743,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,937,70,344,256,154,105,8,7.5,36.7,27.3,16.4,11.2,0.9
I00743,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1100,32,108,170,359,424,7,2.9,9.8,15.5,32.6,38.5,0.6
I00743,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1526,*,375,506,311,221,*,*,24.6,33.2,20.4,14.5,*
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1099,117,218,389,290,*,*,10.6,19.8,35.4,26.4,*,*
I00743,RBK,WALSALL HEALTHCARE NHS TRUST,1557,659,394,228,167,*,*,42.3,25.3,14.6,10.7,*,*
I00743,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2030,623,376,300,313,385,33,30.7,18.5,14.8,15.4,19,1.6
I00743,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2009,968,368,347,173,135,18,48.2,18.3,17.3,8.6,6.7,0.9
I00743,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1382,217,273,235,236,414,7,15.7,19.8,17,17.1,30,0.5
I00743,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1221,*,313,482,291,67,*,*,25.6,39.5,23.8,5.5,*
I00743,RC1,BEDFORD HOSPITAL NHS TRUST,1091,*,242,163,248,350,*,*,22.2,14.9,22.7,32.1,*
I00743,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1548,211,399,322,284,319,13,13.6,25.8,20.8,18.3,20.6,0.8
I00743,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2950,309,484,693,724,726,14,10.5,16.4,23.5,24.5,24.6,0.5
I00743,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,888,*,37,195,250,378,*,*,4.2,22,28.2,42.6,*
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,996,154,119,219,302,202,0,15.5,11.9,22,30.3,20.3,0
I00743,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1417,159,460,520,251,27,0,11.2,32.5,36.7,17.7,1.9,0
I00743,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1873,*,238,448,520,615,*,*,12.7,23.9,27.8,32.8,*
I00743,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1517,*,252,417,413,333,*,*,16.6,27.5,27.2,22,*
I00743,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1077,115,132,164,253,405,8,10.7,12.3,15.2,23.5,37.6,0.7
I00743,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1994,288,559,403,336,395,13,14.4,28,20.2,16.9,19.8,0.7
I00743,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2055,239,510,545,509,242,10,11.6,24.8,26.5,24.8,11.8,0.5
I00743,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3022,*,325,544,624,1438,*,*,10.8,18,20.6,47.6,*
I00743,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1936,180,376,450,421,502,7,9.3,19.4,23.2,21.7,25.9,0.4
I00743,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1125,479,287,195,80,84,0,42.6,25.5,17.3,7.1,7.5,0
I00743,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2036,300,767,765,168,22,14,14.7,37.7,37.6,8.3,1.1,0.7
