INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,796,0,227,227,0,28.5,28.5
I00721,R1H,BARTS HEALTH NHS TRUST,3439,302,601,617,8.8,17.5,17.9
I00721,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2378,0,541,541,0,22.8,22.8
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1240,5,277,281,0.4,22.3,22.7
I00721,RA3,WESTON AREA HEALTH NHS TRUST,917,0,218,218,0,23.8,23.8
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,924,0,280,280,0,30.3,30.3
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1685,39,374,393,2.3,22.2,23.3
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1632,0,304,304,0,18.6,18.6
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1657,0,307,307,0,18.5,18.5
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2001,70,349,368,3.5,17.4,18.4
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2727,0,769,769,0,28.2,28.2
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1208,0,306,306,0,25.3,25.3
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,937,0,231,231,0,24.7,24.7
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1100,0,404,404,0,36.7,36.7
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1526,0,222,222,0,14.5,14.5
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1099,0,171,171,0,15.6,15.6
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1557,0,534,534,0,34.3,34.3
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2030,0,616,616,0,30.3,30.3
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2009,0,469,469,0,23.3,23.3
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1382,0,331,331,0,24,24
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1221,0,201,201,0,16.5,16.5
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1091,0,251,251,0,23,23
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1548,0,243,243,0,15.7,15.7
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2950,0,567,567,0,19.2,19.2
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,888,0,184,184,0,20.7,20.7
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,996,0,262,262,0,26.3,26.3
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1417,56,239,243,4,16.9,17.1
I00721,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1873,0,374,374,0,20,20
I00721,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1517,198,457,465,13.1,30.1,30.7
I00721,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1077,0,351,351,0,32.6,32.6
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1994,271,511,555,13.6,25.6,27.8
I00721,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2055,0,496,496,0,24.1,24.1
I00721,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3022,20,1155,1160,0.7,38.2,38.4
I00721,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1936,320,852,862,16.5,44,44.5
I00721,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1125,165,275,275,14.7,24.4,24.4
I00721,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2036,0,536,536,0,26.3,26.3
I00721,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1937,0,878,878,0,45.3,45.3
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2889,0,455,455,0,15.7,15.7
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1368,0,289,289,0,21.1,21.1
I00721,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1404,0,604,604,0,43,43
I00721,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1647,0,447,447,0,27.1,27.1
I00721,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,843,0,173,173,0,20.5,20.5
I00721,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1728,0,513,513,0,29.7,29.7
I00721,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1425,0,379,379,0,26.6,26.6
I00721,RGQ,IPSWICH HOSPITAL NHS TRUST,1738,0,340,340,0,19.6,19.6
I00721,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1292,0,324,324,0,25.1,25.1
I00721,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2014,0,451,451,0,22.4,22.4
I00721,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1850,0,353,353,0,19.1,19.1
I00721,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2781,398,730,772,14.3,26.2,27.8
I00721,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3298,229,715,728,6.9,21.7,22.1
I00721,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2809,0,787,787,0,28,28
I00721,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1958,0,738,738,0,37.7,37.7
I00721,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1368,1,558,558,0.1,40.8,40.8
I00721,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2215,0,663,663,0,29.9,29.9
I00721,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1223,0,249,249,0,20.4,20.4
I00721,RJ7,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,1919,0,557,557,0,29,29
I00721,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1076,5,248,248,0.5,23,23
I00721,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3990,0,1187,1187,0,29.7,29.7
I00721,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1247,0,247,247,0,19.8,19.8
I00721,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2158,0,386,386,0,17.9,17.9
I00721,RJN,EAST CHESHIRE NHS TRUST,835,0,136,136,0,16.3,16.3
I00721,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1396,0,446,446,0,31.9,31.9
I00721,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2886,0,990,990,0,34.3,34.3
I00721,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1764,0,284,284,0,16.1,16.1
I00721,RK9,PLYMOUTH HOSPITALS NHS TRUST,2181,1,363,363,0,16.6,16.6
I00721,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2723,0,311,311,0,11.4,11.4
I00721,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,396,0,0,0,0,0,0
I00721,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2146,0,648,648,0,30.2,30.2
I00721,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1999,0,525,525,0,26.3,26.3
I00721,RLQ,WYE VALLEY NHS TRUST,1030,0,246,246,0,23.9,23.9
I00721,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,881,0,273,273,0,31,31
I00721,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3074,0,518,518,0,16.9,16.9
I00721,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1817,0,137,137,0,7.5,7.5
I00721,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1632,0,806,806,0,49.4,49.4
I00721,RMC,BOLTON NHS FOUNDATION TRUST,1684,0,421,421,0,25,25
I00721,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1364,0,259,259,0,19,19
I00721,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1618,57,423,428,3.5,26.1,26.5
I00721,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1841,90,402,410,4.9,21.8,22.3
I00721,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1467,0,527,527,0,35.9,35.9
I00721,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2139,0,589,589,0,27.5,27.5
I00721,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1661,0,328,328,0,19.7,19.7
I00721,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1409,0,351,351,0,24.9,24.9
I00721,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1685,28,417,419,1.7,24.7,24.9
I00721,RNZ,SALISBURY NHS FOUNDATION TRUST,1032,131,334,338,12.7,32.4,32.8
I00721,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2668,0,627,627,0,23.5,23.5
I00721,RPA,MEDWAY NHS FOUNDATION TRUST,1727,0,556,556,0,32.2,32.2
I00721,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1832,0,670,670,0,36.6,36.6
I00721,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1705,0,389,389,0,22.8,22.8
I00721,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,515,25,163,171,4.9,31.7,33.2
I00721,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,678,0,229,229,0,33.8,33.8
I00721,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1464,0,138,138,0,9.4,9.4
I00721,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,510,0,133,133,0,26.1,26.1
I00721,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4316,0,986,986,0,22.8,22.8
I00721,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1407,150,203,209,10.7,14.4,14.9
I00721,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3810,0,884,884,0,23.2,23.2
I00721,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1582,0,407,407,0,25.7,25.7
I00721,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2434,0,770,770,0,31.6,31.6
I00721,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1201,0,378,378,0,31.5,31.5
I00721,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2512,0,607,607,0,24.2,24.2
I00721,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2922,1,614,614,0,21,21
I00721,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2929,506,961,985,17.3,32.8,33.6
I00721,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,3054,305,849,886,10,27.8,29
I00721,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3144,279,994,996,8.9,31.6,31.7
I00721,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1510,0,577,577,0,38.2,38.2
I00721,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1652,0,567,567,0,34.3,34.3
I00721,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2634,1,510,510,0,19.4,19.4
I00721,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1876,1,512,512,0.1,27.3,27.3
I00721,RVJ,NORTH BRISTOL NHS TRUST,1929,124,541,562,6.4,28,29.1
I00721,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1921,0,713,713,0,37.1,37.1
I00721,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3896,0,674,674,0,17.3,17.3
I00721,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1827,0,305,305,0,16.7,16.7
I00721,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1289,0,256,256,0,19.9,19.9
I00721,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1650,0,466,466,0,28.2,28.2
I00721,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3871,107,910,917,2.8,23.5,23.7
I00721,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3289,130,774,789,4,23.5,24
I00721,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3362,0,804,804,0,23.9,23.9
I00721,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4307,0,923,923,0,21.4,21.4
I00721,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2082,0,192,192,0,9.2,9.2
I00721,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1862,0,549,549,0,29.5,29.5
I00721,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2273,207,1101,1103,9.1,48.4,48.5
I00721,RWJ,STOCKPORT NHS FOUNDATION TRUST,1590,0,355,355,0,22.3,22.3
I00721,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2656,0,710,710,0,26.7,26.7
I00721,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1468,1,491,492,0.1,33.4,33.5
I00721,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2128,0,446,446,0,21,21
I00721,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3892,228,784,786,5.9,20.1,20.2
I00721,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2444,0,548,548,0,22.4,22.4
I00721,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2863,0,676,676,0,23.6,23.6
