INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,18097,796,754.0157,1.0557,0.8912,1.1177,0.8861,1.1285,2
I00699,R1H,BARTS HEALTH NHS TRUST,161091,3439,4295.4187,0.8006,0.9535,1.0481,0.903,1.1074,3
I00699,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,98977,2378,2772.0312,0.8579,0.9423,1.0601,0.9008,1.1101,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,50154,1240,1474.4699,0.841,0.9215,1.0831,0.8957,1.1164,3
I00699,RA3,WESTON AREA HEALTH NHS TRUST,19243,917,913.6304,1.0037,0.9009,1.1065,0.8894,1.1243,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23706,924,889.944,1.0383,0.8996,1.108,0.889,1.1248,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,73461,1685,1759.1104,0.9579,0.9279,1.0759,0.8975,1.1143,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38857,1632,1640.5445,0.9948,0.9254,1.0787,0.8968,1.1151,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77407,1657,1732.1132,0.9566,0.9274,1.0765,0.8973,1.1144,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,53262,2001,1910.6746,1.0473,0.9308,1.0727,0.8982,1.1134,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,97870,2727,3045.0374,0.8956,0.9449,1.0573,0.9014,1.1094,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,42916,1208,1328.0497,0.9096,0.9173,1.0877,0.8946,1.1179,2
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,39581,937,1065.7539,0.8792,0.908,1.0983,0.8918,1.1214,3
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46839,1100,1260.3478,0.8728,0.9152,1.0901,0.8939,1.1186,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,50735,1526,1553.3287,0.9824,0.9234,1.0809,0.8963,1.1157,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28917,1099,979.3522,1.1222,0.9042,1.1027,0.8905,1.1229,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,42621,1557,1458.3549,1.0676,0.921,1.0836,0.8956,1.1166,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,66543,2030,2098.3641,0.9674,0.9339,1.0693,0.8989,1.1124,2
