INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1F,ISLE OF WIGHT NHS TRUST,*,0,0.2629
I00699,1,R1H,BARTS HEALTH NHS TRUST,196,*,6.6732
I00699,1,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,183,*,6.9802
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,8,0,0.56
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.0067
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0039
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,12,0,0.7791
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.7689
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,41,0,1.1659
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0272
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,51,*,1.3648
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,40,*,1.6446
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,36,0,1.2115
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6,0,0.4462
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.2587
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,*,0.3408
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,11,0,0.1818
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.0085
I00699,1,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,*,0,0.3748
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.3176
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,*,*,0.0637
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,20,0,0.9429
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.5002
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.404
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,6,*,0.8629
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0566
I00699,1,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,0.012
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,0,0.1349
I00699,1,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,13,*,1.3358
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.2382
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,*,0.5634
I00699,1,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,33,*,1.596
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,0,0.1268
I00699,1,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.0167
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,0.0347
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,*,0.2256
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",56,*,2.8078
I00699,1,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,*,0.2417
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.0561
I00699,1,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26,0,0.9116
I00699,1,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,13,0,0.7909
I00699,1,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.3238
I00699,1,RGQ,IPSWICH HOSPITAL NHS TRUST,*,0,0.6182
I00699,1,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,*,*,0.5258
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19,*,1.1188
I00699,1,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,*,*,0.1186
I00699,1,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,23,0,0.9323
I00699,1,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,50,*,2.8657
I00699,1,RHU,PORTSMOUTH HOSPITALS NHS TRUST,9,0,0.2335
I00699,1,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,16,*,0.7993
I00699,1,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,30,0,0.9041
I00699,1,RJ2,LEWISHAM AND GREENWICH NHS TRUST,67,7,2.1976
I00699,1,RJ6,CROYDON HEALTH SERVICES NHS TRUST,24,*,0.5498
I00699,1,RJ7,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,77,*,2.7191
I00699,1,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,9,0,0.3709
I00699,1,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,*,*,0.366
I00699,1,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,6,*,0.5156
I00699,1,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,6,*,0.0995
I00699,1,RJN,EAST CHESHIRE NHS TRUST,*,0,0.0723
I00699,1,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,*,0.9146
I00699,1,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,38,*,1.909
I00699,1,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,0.1687
I00699,1,RK9,PLYMOUTH HOSPITALS NHS TRUST,*,*,0.8944
I00699,1,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,50,7,3.1874
I00699,1,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,21,0,0.6855
I00699,1,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,26,*,0.699
I00699,1,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,6,0,0.0682
I00699,1,RLQ,WYE VALLEY NHS TRUST,*,*,0.1187
I00699,1,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,6,0,0.5185
I00699,1,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.5475
I00699,1,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,14,0,0.6571
I00699,1,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,10,0,0.374
I00699,1,RMC,BOLTON NHS FOUNDATION TRUST,27,0,0.2932
I00699,1,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,7,*,0.4121
I00699,1,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,10,*,0.4255
I00699,1,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10,*,0.7444
I00699,1,RN7,DARTFORD AND GRAVESHAM NHS TRUST,15,*,0.8819
I00699,1,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,14,*,1.2362
I00699,1,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,*,0.1854
I00699,1,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6,0,0.1989
I00699,1,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,10,0,0.7161
I00699,1,RNZ,SALISBURY NHS FOUNDATION TRUST,*,0,0.0145
I00699,1,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,7,*,0.2708
I00699,1,RPA,MEDWAY NHS FOUNDATION TRUST,7,0,0.1729
I00699,1,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,20,0,1.1538
I00699,1,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,6,0,0.6415
I00699,1,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,11,*,1.1032
I00699,1,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,*,0,0.5118
I00699,1,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7,*,0.4393
I00699,1,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17,0,0.3032
I00699,1,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,63,6,1.8579
I00699,1,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,*,0,0.0169
I00699,1,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,47,*,1.6381
I00699,1,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,0,0.1123
I00699,1,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,42,*,1.9572
