INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.1271,0.2646,18.1473,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.0095,1572.8359,0.0001,1,0.9929
I00699,1,AGE_GROUP_10,-0.4737,0.5085,0.8678,1,0.3516
I00699,1,AGE_GROUP_11,0.5862,0.3623,2.6186,1,0.1056
I00699,1,AGE_GROUP_12,1.2272,0.3268,14.1066,1,0.0002
I00699,1,AGE_GROUP_13,1.2135,0.3353,13.0963,1,0.0003
I00699,1,AGE_GROUP_14,1.739,0.3147,30.5353,1,0
I00699,1,AGE_GROUP_15,1.8129,0.3044,35.4619,1,0
I00699,1,AGE_GROUP_16,2.1027,0.3028,48.2145,1,0
I00699,1,AGE_GROUP_17,2.3129,0.298,60.2418,1,0
I00699,1,AGE_GROUP_18,2.551,0.3048,70.0475,1,0
I00699,1,AGE_GROUP_19,2.8491,0.3243,77.1643,1,0
I00699,1,AGE_GROUP_2,-0.2994,1.0323,0.0841,1,0.7718
I00699,1,AGE_GROUP_20,3.2519,0.3904,69.3809,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-14.1218,1458.801,0.0001,1,0.9923
I00699,1,AGE_GROUP_4,-14.2052,921.4896,0.0002,1,0.9877
I00699,1,AGE_GROUP_5,-14.4206,607.3276,0.0006,1,0.9811
I00699,1,AGE_GROUP_6,-1.2489,0.6256,3.9854,1,0.0459
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.1532,0.4113,0.1387,1,0.7096
I00699,1,AGE_GROUP_9,-0.1934,0.4483,0.186,1,0.6662
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.4081,0.1618,6.3666,1,0.0116
I00699,1,CHARLSON_INDEX_3,1.0504,0.1501,48.9927,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3407,0.1258,7.3401,1,0.0067
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.2882,0.2598,272.3422,1,0
