INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,"ENGLAND",8748400,2107085,1833849,1653715,1514861,1385035,253855,24.0854,20.9621,18.9031,17.3159,15.8319,2.9017
I00742,R1F,"ISLE OF WIGHT NHS TRUST",17384,1294,5916,6622,2628,655,269,7.4436,34.0313,38.0925,15.1173,3.7678,1.5474
I00742,R1H,"BARTS HEALTH NHS TRUST",152031,86054,32936,14997,8745,5457,3842,56.6029,21.6640,9.8644,5.7521,3.5894,2.5271
I00742,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",90706,14556,31737,26449,10930,5519,1515,16.0475,34.9889,29.1590,12.0499,6.0845,1.6702
I00742,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",49075,252,2825,6322,11950,24810,2916,0.5135,5.7565,12.8823,24.3505,50.5553,5.9419
I00742,RA3,"WESTON AREA HEALTH NHS TRUST",17355,3273,2680,3646,5325,2245,186,18.8591,15.4422,21.0084,30.6828,12.9358,1.0717
I00742,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",24719,1031,2819,7306,10091,3209,263,4.1709,11.4042,29.5562,40.8228,12.9819,1.0640
I00742,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",74893,17455,15502,13326,14330,12705,1575,23.3066,20.6989,17.7934,19.1340,16.9642,2.1030
I00742,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",45336,6329,13474,13792,8768,2581,392,13.9602,29.7203,30.4217,19.3400,5.6930,0.8647
I00742,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",74490,42470,14132,10026,4841,2712,309,57.0144,18.9717,13.4595,6.4989,3.6408,0.4148
I00742,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",53613,8774,10120,11394,10633,12164,528,16.3654,18.8760,21.2523,19.8329,22.6885,0.9848
I00742,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",100447,13522,23163,28206,22825,10478,2253,13.4618,23.0599,28.0805,22.7234,10.4314,2.2430
I00742,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",47003,24502,13168,4683,2470,1191,989,52.1286,28.0152,9.9632,5.2550,2.5339,2.1041
I00742,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",40331,4048,16446,9647,5306,3917,967,10.0369,40.7776,23.9196,13.1561,9.7121,2.3977
I00742,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",50089,1484,4749,8420,16109,17968,1359,2.9627,9.4811,16.8101,32.1608,35.8721,2.7132
I00742,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",51181,3272,13401,16855,10334,6850,469,6.3930,26.1835,32.9321,20.1911,13.3839,0.9164
I00742,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",30651,3563,5211,11519,7668,2526,164,11.6244,17.0011,37.5812,25.0171,8.2412,0.5351
I00742,RBK,"WALSALL HEALTHCARE NHS TRUST",44445,22327,9914,5300,3790,2624,490,50.2351,22.3062,11.9249,8.5274,5.9039,1.1025
I00742,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",66626,24486,11876,8737,9040,10836,1651,36.7514,17.8249,13.1135,13.5683,16.2639,2.4780
I00742,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",68978,33972,11985,10306,6708,4585,1422,49.2505,17.3751,14.9410,9.7248,6.6470,2.0615
I00742,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",47177,7677,9254,7844,7832,12663,1907,16.2728,19.6155,16.6267,16.6013,26.8415,4.0422
I00742,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",28736,2390,8531,10589,6191,689,346,8.3171,29.6875,36.8492,21.5444,2.3977,1.2041
I00742,RC1,"BEDFORD HOSPITAL NHS TRUST",31406,3187,6124,4916,7319,9635,225,10.1477,19.4995,15.6531,23.3045,30.6789,0.7164
I00742,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",67309,13493,17642,13243,10650,11217,1064,20.0464,26.2105,19.6749,15.8225,16.6649,1.5808
I00742,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",81946,10447,13826,17845,19641,19638,549,12.7486,16.8721,21.7765,23.9682,23.9646,0.6700
I00742,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",25879,677,1454,5521,8366,9706,155,2.6160,5.6185,21.3339,32.3274,37.5053,0.5989
I00742,RCF,"AIREDALE NHS FOUNDATION TRUST",34513,7837,4599,6840,9777,5243,217,22.7074,13.3254,19.8186,28.3285,15.1914,0.6287
I00742,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",42378,6612,13489,14342,5768,1971,196,15.6024,31.8302,33.8430,13.6108,4.6510,0.4625
I00742,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",54251,2360,6897,12055,14836,17675,428,4.3502,12.7131,22.2208,27.3470,32.5800,0.7889
I00742,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",47432,4160,10009,12929,10415,9416,503,8.7705,21.1018,27.2580,21.9578,19.8516,1.0605
I00742,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",39434,5036,4823,4737,8284,12396,4158,12.7707,12.2306,12.0125,21.0073,31.4348,10.5442
I00742,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",54071,9853,15104,10560,8189,9979,386,18.2223,27.9336,19.5299,15.1449,18.4554,0.7139
I00742,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",53852,5821,13079,13307,13473,7421,751,10.8093,24.2869,24.7103,25.0186,13.7804,1.3946
I00742,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",118354,4478,17253,23452,22117,48838,2216,3.7836,14.5775,19.8151,18.6872,41.2643,1.8723
I00742,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",43398,4147,8533,9945,8863,11084,826,9.5557,19.6622,22.9158,20.4226,25.5403,1.9033
I00742,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",22533,10793,5161,3587,1368,1506,118,47.8986,22.9042,15.9189,6.0711,6.6835,0.5237
I00742,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",66038,10071,25474,22704,5731,1155,903,15.2503,38.5748,34.3802,8.6783,1.7490,1.3674
I00742,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",48702,28307,6552,6155,4215,2740,733,58.1229,13.4532,12.6381,8.6547,5.6261,1.5051
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",54518,11608,17438,12104,8614,3776,978,21.2921,31.9858,22.2018,15.8003,6.9262,1.7939
I00742,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",42259,15358,12395,8078,4322,1845,261,36.3426,29.3310,19.1155,10.2274,4.3659,0.6176
I00742,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",42732,17700,11215,6447,5352,1658,360,41.4209,26.2450,15.0871,12.5246,3.8800,0.8425
I00742,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",48428,10673,13832,8514,8967,5616,826,22.0389,28.5620,17.5807,18.5161,11.5966,1.7056
I00742,RGN,"PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST",52699,9948,7722,9494,12478,7719,5338,18.8770,14.6530,18.0155,23.6779,14.6473,10.1292
I00742,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",29402,7250,6872,8276,5572,1254,178,24.6582,23.3726,28.1477,18.9511,4.2650,0.6054
I00742,RGQ,"IPSWICH HOSPITAL NHS TRUST",52895,7125,7211,10408,15746,11795,610,13.4701,13.6327,19.6767,29.7684,22.2989,1.1532
I00742,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",34551,369,4529,8960,13772,6343,578,1.0680,13.1082,25.9327,39.8599,18.3584,1.6729
I00742,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",79159,2191,10057,13628,23004,28888,1391,2.7678,12.7048,17.2160,29.0605,36.4936,1.7572
I00742,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",62023,4535,13046,20013,17678,6282,469,7.3118,21.0341,32.2671,28.5023,10.1285,0.7562
I00742,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",93087,13292,16723,20884,17855,22521,1812,14.2791,17.9649,22.4349,19.1810,24.1935,1.9466
I00742,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",111091,43089,20346,19248,15485,11845,1078,38.7871,18.3147,17.3263,13.9390,10.6624,0.9704
I00742,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",84255,16183,16207,15531,17553,17605,1176,19.2072,19.2357,18.4333,20.8332,20.8949,1.3958
I00742,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",69920,3858,11237,11845,12457,29742,781,5.5177,16.0712,16.9408,17.8161,42.5372,1.1170
I00742,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",87479,24807,32213,11822,8136,6618,3883,28.3577,36.8237,13.5141,9.3005,7.5652,4.4388
I00742,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",90624,32086,32678,12334,6313,3829,3384,35.4056,36.0589,13.6101,6.9661,4.2252,3.7341
I00742,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",44986,8524,14165,9820,5064,2441,4972,18.9481,31.4876,21.8290,11.2568,5.4261,11.0523
I00742,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",80845,7702,24857,20982,12593,12961,1750,9.5269,30.7465,25.9534,15.5767,16.0319,2.1646
I00742,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",30829,494,2680,5208,8152,11424,2871,1.6024,8.6931,16.8932,26.4426,37.0560,9.3127
I00742,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",121418,37395,25053,22222,22008,13366,1374,30.7986,20.6337,18.3021,18.1258,11.0083,1.1316
I00742,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",40839,5448,7278,8974,9420,6159,3560,13.3402,17.8212,21.9741,23.0662,15.0812,8.7172
I00742,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",57410,17533,10862,11597,10657,4918,1843,30.5400,18.9200,20.2003,18.5630,8.5665,3.2102
I00742,RJN,"EAST CHESHIRE NHS TRUST",21012,1382,2707,3882,3789,7447,1805,6.5772,12.8831,18.4752,18.0326,35.4417,8.5903
I00742,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",46669,9439,4911,4901,7063,10630,9725,20.2254,10.5230,10.5016,15.1342,22.7774,20.8382
I00742,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",114607,25551,29114,14974,16243,16608,12117,22.2944,25.4033,13.0655,14.1728,14.4913,10.5727
I00742,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",51797,16858,15345,9611,6342,3325,316,32.5463,29.6253,18.5551,12.2440,6.4193,0.6101
I00742,RK9,"PLYMOUTH HOSPITALS NHS TRUST",69751,13532,18534,17242,14596,5279,568,19.4004,26.5717,24.7194,20.9259,7.5684,0.8143
I00742,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",90451,23752,20310,18010,15421,11931,1027,26.2595,22.4541,19.9113,17.0490,13.1906,1.1354
I00742,RKE,"THE WHITTINGTON HOSPITAL NHS TRUST",34554,15231,11615,4511,2007,557,633,44.0788,33.6141,13.0549,5.8083,1.6120,1.8319
I00742,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",67397,27437,12833,8911,8489,4871,4856,40.7095,19.0409,13.2217,12.5955,7.2273,7.2051
I00742,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",58710,25237,16066,7725,6498,2321,863,42.9859,27.3650,13.1579,11.0680,3.9533,1.4699
I00742,RLQ,"WYE VALLEY NHS TRUST",28582,1974,3442,12965,5651,1140,3410,6.9064,12.0425,45.3607,19.7712,3.9885,11.9306
I00742,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",23462,4260,6953,4978,4252,2864,155,18.1570,29.6352,21.2173,18.1229,12.2070,0.6606
I00742,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",91010,8089,15454,23803,23110,14322,6232,8.8880,16.9806,26.1543,25.3928,15.7367,6.8476
I00742,RM2,"UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST",64733,21199,9537,9910,10881,12191,1015,32.7484,14.7328,15.3090,16.8090,18.8327,1.5680
I00742,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",48161,20888,11115,7226,4928,3294,710,43.3712,23.0788,15.0038,10.2323,6.8396,1.4742
I00742,RMC,"BOLTON NHS FOUNDATION TRUST",62953,29617,13123,8008,6875,4778,552,47.0462,20.8457,12.7206,10.9208,7.5898,0.8768
I00742,RMP,"TAMESIDE HOSPITAL NHS FOUNDATION TRUST",33721,12855,8722,4800,3125,1508,2711,38.1216,25.8652,14.2345,9.2672,4.4720,8.0395
I00742,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",53846,6061,5648,9049,13515,19041,532,11.2562,10.4892,16.8053,25.0994,35.3620,0.9880
I00742,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",57045,405,7741,9690,11937,26792,480,0.7100,13.5700,16.9866,20.9256,46.9664,0.8414
I00742,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",58646,7012,14793,11936,13644,10886,375,11.9565,25.2242,20.3526,23.2650,18.5622,0.6394
I00742,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",74972,26959,18503,9692,10626,8597,595,35.9588,24.6799,12.9275,14.1733,11.4669,0.7936
I00742,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",47273,10298,11942,11411,8327,4162,1133,21.7841,25.2618,24.1385,17.6147,8.8042,2.3967
I00742,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",46863,8428,11450,8781,8318,9590,296,17.9843,24.4329,18.7376,17.7496,20.4639,0.6316
I00742,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",66551,11944,13168,11546,11685,17305,903,17.9471,19.7863,17.3491,17.5580,26.0026,1.3569
I00742,RNZ,"SALISBURY NHS FOUNDATION TRUST",34641,1328,2394,10436,10631,9589,263,3.8336,6.9109,30.1262,30.6891,27.6811,0.7592
I00742,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",72733,28768,17105,13420,10915,2107,418,39.5529,23.5175,18.4510,15.0069,2.8969,0.5747
