INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,"ENGLAND",3.4181,19
I01965,R1F,"ISLE OF WIGHT NHS TRUST",4.4292,13
I01965,R1H,"BARTS HEALTH NHS TRUST",3.1653,19
I01965,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",3.4883,12
I01965,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",3.1353,13
I01965,RA3,"WESTON AREA HEALTH NHS TRUST",2.8225,19
I01965,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",2.5905,19
I01965,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",3.7971,12
I01965,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",5.0899,12
I01965,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",2.6111,13
I01965,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.3297,19
I01965,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",3.1087,19
I01965,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",4.2310,19
I01965,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",3.5660,12
I01965,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",3.1377,19
I01965,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",2.9157,19
I01965,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",2.8922,12
I01965,RBK,"WALSALL HEALTHCARE NHS TRUST",3.1794,14
I01965,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",4.0083,19
I01965,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",4.0913,13
I01965,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",3.3810,12
I01965,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",3.1901,11
I01965,RC1,"BEDFORD HOSPITAL NHS TRUST",3.9018,19
I01965,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.1393,13
I01965,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",2.7282,12
I01965,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3.3725,12
I01965,RCF,"AIREDALE NHS FOUNDATION TRUST",4.6487,13
I01965,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",2.6133,13
I01965,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",3.5268,13
I01965,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",2.6862,13
I01965,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.4845,14
I01965,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.9396,13
I01965,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",4.0148,19
I01965,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",2.7331,19
I01965,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2.7653,13
I01965,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",3.7766,12
I01965,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",4.7606,12
I01965,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.6157,19
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3.5542,13
I01965,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",2.9044,19
I01965,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",3.7026,19
I01965,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",2.6619,19
I01965,RGN,"PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST",2.6495,13
I01965,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2.8574,12
I01965,RGQ,"IPSWICH HOSPITAL NHS TRUST",3.2205,13
I01965,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",3.7608,12
I01965,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2.3384,19
I01965,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2.9108,13
I01965,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",4.0545,19
I01965,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3.4321,13
I01965,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3.1492,13
I01965,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",1.2804,12
I01965,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",4.1942,13
I01965,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2.7512,13
I01965,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",2.1054,15
I01965,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.2103,19
I01965,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",3.7015,11
I01965,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",3.3004,13
I01965,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",3.0226,12
I01965,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",3.6799,19
I01965,RJN,"EAST CHESHIRE NHS TRUST",2.1863,12
I01965,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",3.1971,12
I01965,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3.9916,13
I01965,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",2.8633,13
I01965,RK9,"PLYMOUTH HOSPITALS NHS TRUST",4.9055,19
