INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",289318,206794,82524,71.4764,28.5236
I00733,R1F,"ISLE OF WIGHT NHS TRUST",826,548,278,66.3438,33.6562
I00733,R1H,"BARTS HEALTH NHS TRUST",3947,3100,847,78.5407,21.4593
I00733,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2587,1983,604,76.6525,23.3475
I00733,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1280,827,453,64.6094,35.3906
I00733,RA3,"WESTON AREA HEALTH NHS TRUST",1001,681,320,68.0320,31.9680
I00733,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",987,663,324,67.1733,32.8267
I00733,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1738,1299,439,74.7411,25.2589
I00733,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1866,1316,550,70.5252,29.4748
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1782,1186,596,66.5544,33.4456
I00733,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2339,1588,751,67.8923,32.1077
I00733,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2794,1993,801,71.3314,28.6686
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1459,1164,295,79.7807,20.2193
I00733,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1030,820,210,79.6117,20.3883
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1294,929,365,71.7929,28.2071
I00733,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1665,1129,536,67.8078,32.1922
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1160,772,388,66.5517,33.4483
I00733,RBK,"WALSALL HEALTHCARE NHS TRUST",1616,1126,490,69.6782,30.3218
I00733,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2246,1622,624,72.2173,27.7827
I00733,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",2252,1559,693,69.2274,30.7726
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1474,973,501,66.0109,33.9891
I00733,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1260,953,307,75.6349,24.3651
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1179,814,365,69.0416,30.9584
I00733,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1684,1197,487,71.0808,28.9192
I00733,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3192,2179,1013,68.2644,31.7356
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",985,702,283,71.2690,28.7310
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1034,708,326,68.4720,31.5280
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1514,1014,500,66.9749,33.0251
I00733,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",2000,1451,549,72.5500,27.4500
I00733,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1567,1182,385,75.4308,24.5692
I00733,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1251,870,381,69.5444,30.4556
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2075,1542,533,74.3133,25.6867
