INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,"ENGLAND",277762,7580594,3.6641
I00732,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2015,40253,5.0058
I00732,RCF,"AIREDALE NHS FOUNDATION TRUST",973,31767,3.0629
I00732,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1608,34664,4.6388
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3189,75179,4.2419
I00732,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1434,38586,3.7164
I00732,R1H,"BARTS HEALTH NHS TRUST",3504,135017,2.5952
I00732,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2029,48174,4.2118
I00732,RC1,"BEDFORD HOSPITAL NHS TRUST",1162,30289,3.8364
I00732,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2315,49443,4.6822
I00732,RMC,"BOLTON NHS FOUNDATION TRUST",1682,59335,2.8348
I00732,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1768,65261,2.7091
I00732,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2282,59794,3.8164
I00732,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1521,51746,2.9394
I00732,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1331,38298,3.4754
I00732,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2276,58463,3.8931
I00732,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2064,57695,3.5774
I00732,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1602,84722,1.8909
I00732,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1479,80838,1.8296
I00732,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1679,45006,3.7306
I00732,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",1953,44432,4.3955
I00732,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2226,50471,4.4105
I00732,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1472,43235,3.4046
