INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",285677,203356,82321,71.1839,28.8161
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2078,1515,563,72.9066,27.0934
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1009,661,348,65.5104,34.4896
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1656,1146,510,69.2029,30.7971
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3229,2429,800,75.2245,24.7755
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1459,962,497,65.9356,34.0644
I00733,R1H,"BARTS HEALTH NHS TRUST",3634,2855,779,78.5636,21.4364
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2062,1583,479,76.7701,23.2299
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1180,831,349,70.4237,29.5763
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2359,1685,674,71.4286,28.5714
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1717,1198,519,69.7729,30.2271
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1819,1202,617,66.0803,33.9197
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2340,1608,732,68.7179,31.2821
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1542,1145,397,74.2542,25.7458
I00733,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1355,1010,345,74.5387,25.4613
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2316,1570,746,67.7893,32.2107
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2143,1431,712,66.7755,33.2245
I00733,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1720,1375,345,79.9419,20.0581
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1542,1178,364,76.3943,23.6057
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1698,1148,550,67.6090,32.3910
I00733,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2029,1529,500,75.3573,24.6427
I00733,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2274,1615,659,71.0202,28.9798
I00733,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1524,1098,426,72.0472,27.9528
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3090,2102,988,68.0259,31.9741
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1233,947,286,76.8045,23.1955
I00733,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1424,984,440,69.1011,30.8989
I00733,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3231,2316,915,71.6806,28.3194
I00733,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",2847,1913,934,67.1935,32.8065
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1164,759,405,65.2062,34.7938
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2365,1637,728,69.2178,30.7822
I00733,RJN,"EAST CHESHIRE NHS TRUST",961,621,340,64.6202,35.3798
I00733,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4037,2660,1377,65.8905,34.1095
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2599,1868,731,71.8738,28.1262
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2536,1758,778,69.3218,30.6782
I00733,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1971,1426,545,72.3491,27.6509
I00733,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3503,2617,886,74.7074,25.2926
