INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0726,2,48478,2078,1937.3563,0.9313,1.0722,0.8897,1.1240
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9337,2,34898,1009,1080.6795,0.9086,1.0976,0.8839,1.1314
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9468,2,41381,1656,1748.9592,0.9277,1.0761,0.8889,1.1250
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0677,2,83005,3229,3024.2359,0.9447,1.0575,0.8924,1.1205
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0036,2,42669,1459,1453.8111,0.9209,1.0837,0.8872,1.1271
I00699,R1H,"BARTS HEALTH NHS TRUST",0.8676,3,155685,3634,4188.6044,0.9529,1.0487,0.8938,1.1188
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0216,2,54208,2062,2018.3957,0.9326,1.0707,0.8900,1.1236
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0333,2,33423,1180,1142.0232,0.9110,1.0949,0.8846,1.1305
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1368,1,57348,2359,2075.2097,0.9335,1.0697,0.8902,1.1234
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0458,2,65685,1717,1641.8093,0.9255,1.0786,0.8883,1.1257
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9719,2,75105,1819,1871.6031,0.9301,1.0735,0.8894,1.1243
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9396,2,70761,2340,2490.5337,0.9392,1.0635,0.8914,1.1219
