INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.2465,0.2923,18.1836,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.2017,1906.6373,0.0001,1,0.9941
I00699,1,AGE_GROUP_2,-14.2628,1319.2471,0.0001,1,0.9914
I00699,1,AGE_GROUP_3,-14.1593,1298.2173,0.0001,1,0.9913
I00699,1,AGE_GROUP_4,-14.3761,1258.9002,0.0001,1,0.9909
I00699,1,AGE_GROUP_5,-14.4802,748.2074,0.0004,1,0.9846
I00699,1,AGE_GROUP_6,-1.8471,1.0397,3.1558,1,0.0757
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.2213,0.4249,0.2713,1,0.6025
I00699,1,AGE_GROUP_9,0.5413,0.4051,1.7854,1,0.1815
I00699,1,AGE_GROUP_10,-0.2729,0.5302,0.2649,1,0.6068
I00699,1,AGE_GROUP_11,0.8772,0.3798,5.3351,1,0.0209
I00699,1,AGE_GROUP_12,1.3042,0.3652,12.7526,1,0.0004
I00699,1,AGE_GROUP_13,1.2959,0.3715,12.1677,1,0.0005
I00699,1,AGE_GROUP_14,1.8133,0.3523,26.4938,1,0
I00699,1,AGE_GROUP_15,1.7934,0.3527,25.8491,1,0
I00699,1,AGE_GROUP_16,2.1276,0.3455,37.9305,1,0
I00699,1,AGE_GROUP_17,2.1044,0.3457,37.0652,1,0
I00699,1,AGE_GROUP_18,2.3969,0.3497,46.9874,1,0
I00699,1,AGE_GROUP_19,2.9838,0.3665,66.2797,1,0
I00699,1,AGE_GROUP_20,3.3801,0.435,60.3692,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.4887,0.1775,7.5847,1,0.0059
