INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7504,1279723,0.5864
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",60,7426,0.8080
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",31,3072,1.0091
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",25,6193,0.4037
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",65,8688,0.7482
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",21,4110,0.5109
I00731,R1H,"BARTS HEALTH NHS TRUST",133,20501,0.6487
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",47,5795,0.8110
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",16,3046,0.5253
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",51,7003,0.7283
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",42,6102,0.6883
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",44,9921,0.4435
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",59,11022,0.5353
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",29,5927,0.4893
I00731,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",19,4337,0.4381
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",33,7491,0.4405
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",61,16157,0.3775
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",59,8664,0.6810
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",19,4150,0.4578
I00731,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",57,11900,0.4790
I00731,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",35,6396,0.5472
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",30,4674,0.6418
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",26,7997,0.3251
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",*,*,0.2039
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",42,11545,0.3638
I00731,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",73,13873,0.5262
I00731,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",40,10536,0.3797
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",31,4121,0.7522
I00731,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",54,9764,0.5531
I00731,RJN,"EAST CHESHIRE NHS TRUST",9,1762,0.5108
I00731,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",81,15257,0.5309
I00731,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",62,10403,0.5960
I00731,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",42,7127,0.5893
I00731,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",44,9357,0.4702
I00731,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",88,16459,0.5347
I00731,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",64,5089,1.2576
I00731,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,*,0.2120
I00731,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",87,14683,0.5925
I00731,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",25,6746,0.3706
I00731,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",185,26882,0.6882
I00731,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",29,7933,0.3656
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",17,3625,0.4690
I00731,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",104,37712,0.2758
I00731,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",23,3098,0.7424
I00731,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",125,17298,0.7226
I00731,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",119,20072,0.5929
I00731,RGQ,"IPSWICH HOSPITAL NHS TRUST",51,7092,0.7191
I00731,R1F,"ISLE OF WIGHT NHS TRUST",9,2445,0.3681
I00731,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",49,4782,1.0247
I00731,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",23,4607,0.4992
I00731,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",109,23151,0.4708
I00731,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",18,4290,0.4196
I00731,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",79,10816,0.7304
I00731,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",134,26526,0.5052
I00731,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",15,5280,0.2841
I00731,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",31,10876,0.2850
I00731,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",32,9076,0.3526
I00731,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",42,6990,0.6009
I00731,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",230,32923,0.6986
I00731,RPA,"MEDWAY NHS FOUNDATION TRUST",13,6516,0.1995
I00731,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",20,3491,0.5729
I00731,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",30,9911,0.3027
I00731,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",47,8268,0.5685
I00731,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",18,3971,0.4533
I00731,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",82,13917,0.5892
I00731,RVJ,"NORTH BRISTOL NHS TRUST",43,12588,0.3416
I00731,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",26,6090,0.4269
I00731,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",16,1859,0.8607
I00731,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",23,6609,0.3480
I00731,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",53,11380,0.4657
I00731,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",36,5397,0.6670
I00731,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",19,3773,0.5036
I00731,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",43,6924,0.6210
I00731,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",31,6904,0.4490
I00731,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",151,23173,0.6516
I00731,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",96,22866,0.4198
I00731,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",82,12419,0.6603
I00731,RK9,"PLYMOUTH HOSPITALS NHS TRUST",103,11708,0.8797
I00731,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",22,3440,0.6395
