INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,"ENGLAND",8933241,8467,147532,148952,0.0948,1.6515,1.6674
I00720,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",48372,251,1599,1720,0.5189,3.3056,3.5558
I00720,RCF,"AIREDALE NHS FOUNDATION TRUST",33711,0,527,527,0.0000,1.5633,1.5633
I00720,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",42672,16,1258,1258,0.0375,2.9481,2.9481
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",85937,1,1889,1890,0.0012,2.1981,2.1993
I00720,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",42236,0,594,594,0.0000,1.4064,1.4064
I00720,R1H,"BARTS HEALTH NHS TRUST",155774,431,2487,2503,0.2767,1.5965,1.6068
I00720,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",61556,1013,923,1467,1.6457,1.4994,2.3832
I00720,RC1,"BEDFORD HOSPITAL NHS TRUST",35903,0,467,467,0.0000,1.3007,1.3007
I00720,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",56369,7,896,898,0.0124,1.5895,1.5931
I00720,RMC,"BOLTON NHS FOUNDATION TRUST",62235,1,905,906,0.0016,1.4542,1.4558
I00720,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",76754,0,868,868,0.0000,1.1309,1.1309
I00720,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",71788,1,908,908,0.0014,1.2648,1.2648
I00720,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",56411,283,1117,1133,0.5017,1.9801,2.0085
I00720,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",43742,3,600,602,0.0069,1.3717,1.3763
I00720,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",68130,0,1287,1287,0.0000,1.8890,1.8890
I00720,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",74285,0,1360,1360,0.0000,1.8308,1.8308
I00720,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",90302,30,1213,1216,0.0332,1.3433,1.3466
I00720,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",50001,0,752,752,0.0000,1.5040,1.5040
I00720,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",56366,0,666,666,0.0000,1.1816,1.1816
I00720,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",54776,0,1044,1044,0.0000,1.9059,1.9059
I00720,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47365,0,817,817,0.0000,1.7249,1.7249
I00720,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",81713,0,1688,1688,0.0000,2.0658,2.0658
I00720,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",43699,0,758,758,0.0000,1.7346,1.7346
I00720,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",54601,0,1133,1133,0.0000,2.0751,2.0751
I00720,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",87509,544,1141,1187,0.6217,1.3039,1.3564
I00720,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",75114,0,1754,1754,0.0000,2.3351,2.3351
I00720,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",31025,0,623,623,0.0000,2.0081,2.0081
I00720,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",67353,309,1589,1590,0.4588,2.3592,2.3607
I00720,RJN,"EAST CHESHIRE NHS TRUST",20171,0,375,375,0.0000,1.8591,1.8591
I00720,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",105937,0,1554,1554,0.0000,1.4669,1.4669
I00720,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",78792,2,1445,1446,0.0025,1.8339,1.8352
I00720,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",54186,0,820,820,0.0000,1.5133,1.5133
I00720,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",63580,1,1252,1253,0.0016,1.9692,1.9707
I00720,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",126536,1,2400,2400,0.0008,1.8967,1.8967
I00720,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",33428,207,401,418,0.6192,1.1996,1.2504
I00720,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",21625,0,334,334,0.0000,1.5445,1.5445
I00720,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",88294,3,1323,1326,0.0034,1.4984,1.5018
I00720,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",58236,91,942,946,0.1563,1.6176,1.6244
I00720,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",87253,5,1277,1281,0.0057,1.4636,1.4681
I00720,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",61875,259,1065,1143,0.4186,1.7212,1.8473
I00720,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",26609,0,286,286,0.0000,1.0748,1.0748
I00720,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",185466,0,1887,1887,0.0000,1.0174,1.0174
I00720,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",43878,0,428,428,0.0000,0.9754,0.9754
I00720,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",84725,310,1743,1863,0.3659,2.0572,2.1989
I00720,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",108504,1,2556,2556,0.0009,2.3557,2.3557
I00720,RGQ,"IPSWICH HOSPITAL NHS TRUST",52277,0,776,776,0.0000,1.4844,1.4844
I00720,R1F,"ISLE OF WIGHT NHS TRUST",17198,0,405,405,0.0000,2.3549,2.3549
I00720,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",31239,0,599,599,0.0000,1.9175,1.9175
I00720,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",51661,0,760,760,0.0000,1.4711,1.4711
I00720,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",110502,3,2431,2434,0.0027,2.2000,2.2027
