INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,"ENGLAND",1089259,8933241,12.1933
I01964,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",7268,48372,15.0252
I01964,RCF,"AIREDALE NHS FOUNDATION TRUST",4361,33711,12.9364
I01964,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",4287,42672,10.0464
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11157,85937,12.9828
I01964,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",4767,42236,11.2866
I01964,R1H,"BARTS HEALTH NHS TRUST",18141,155774,11.6457
I01964,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",6580,61556,10.6895
I01964,RC1,"BEDFORD HOSPITAL NHS TRUST",5324,35903,14.8288
I01964,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6820,56369,12.0988
I01964,RMC,"BOLTON NHS FOUNDATION TRUST",6726,62235,10.8074
I01964,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",9981,76754,13.0039
I01964,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",8608,71788,11.9909
I01964,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",6038,56411,10.7036
I01964,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",5426,43742,12.4046
I01964,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",8223,68130,12.0696
I01964,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",8063,74285,10.8541
I01964,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",17357,90302,19.2211
I01964,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5845,50001,11.6898
I01964,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",4466,56366,7.9232
I01964,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",5525,54776,10.0865
I01964,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",4920,47365,10.3874
I01964,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",10257,81713,12.5525
I01964,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",5968,43699,13.6571
I01964,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",7348,54601,13.4576
I01964,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",7493,87509,8.5625
I01964,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",10716,75114,14.2663
I01964,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",4330,31025,13.9565
I01964,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",8079,67353,11.9950
I01964,RJN,"EAST CHESHIRE NHS TRUST",1551,20171,7.6893
I01964,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",13297,105937,12.5518
I01964,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",8714,78792,11.0595
I01964,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",6654,54186,12.2799
I01964,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",8755,63580,13.7701
I01964,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",18422,126536,14.5587
I01964,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",4190,33428,12.5344
I01964,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",2233,21625,10.3260
I01964,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",10380,88294,11.7562
I01964,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",8489,58236,14.5769
I01964,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",7929,87253,9.0874
I01964,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",6986,61875,11.2905
I01964,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3713,26609,13.9539
I01964,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",30193,185466,16.2795
I01964,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4055,43878,9.2415
I01964,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",5792,84725,6.8362
I01964,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",8947,108504,8.2458
I01964,RGQ,"IPSWICH HOSPITAL NHS TRUST",6605,52277,12.6346
I01964,R1F,"ISLE OF WIGHT NHS TRUST",1719,17198,9.9953
I01964,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3430,31239,10.9799
I01964,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",6842,51661,13.2440
I01964,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",9964,110502,9.0170
I01964,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",4932,56127,8.7872
I01964,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",7355,73913,9.9509
I01964,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",14491,128491,11.2778
I01964,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",10243,91818,11.1558
I01964,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",12258,89391,13.7128
I01964,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",10104,76940,13.1323
I01964,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",10582,67409,15.6982
I01964,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",16232,171920,9.4416
I01964,RPA,"MEDWAY NHS FOUNDATION TRUST",6627,55389,11.9645
I01964,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",6268,48681,12.8757
I01964,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",7050,57707,12.2169
