INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,"ENGLAND",28138,8933241,0.3150
I01963,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",165,48372,0.3411
I01963,RCF,"AIREDALE NHS FOUNDATION TRUST",5,33711,0.0148
I01963,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",24,42672,0.0562
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",44,85937,0.0512
I01963,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",2,42236,0.0047
I01963,R1H,"BARTS HEALTH NHS TRUST",826,155774,0.5303
I01963,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",118,61556,0.1917
I01963,RC1,"BEDFORD HOSPITAL NHS TRUST",0,35903,0.0000
I01963,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",47,56369,0.0834
I01963,RMC,"BOLTON NHS FOUNDATION TRUST",811,62235,1.3031
I01963,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",194,76754,0.2528
I01963,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",36,71788,0.0501
I01963,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",167,56411,0.2960
I01963,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",118,43742,0.2698
I01963,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",52,68130,0.0763
I01963,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",30,74285,0.0404
I01963,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",4641,90302,5.1394
I01963,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5,50001,0.0100
I01963,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",17,56366,0.0302
I01963,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",21,54776,0.0383
I01963,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",223,47365,0.4708
I01963,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",5,81713,0.0061
I01963,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",67,43699,0.1533
I01963,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",47,54601,0.0861
I01963,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",150,87509,0.1714
I01963,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",29,75114,0.0386
I01963,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",2,31025,0.0064
I01963,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",14,67353,0.0208
I01963,RJN,"EAST CHESHIRE NHS TRUST",1,20171,0.0050
I01963,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",79,105937,0.0746
I01963,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",72,78792,0.0914
I01963,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",230,54186,0.4245
I01963,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",18,63580,0.0283
I01963,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",673,126536,0.5319
I01963,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1,33428,0.0030
I01963,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",38,21625,0.1757
I01963,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1699,88294,1.9243
I01963,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",199,58236,0.3417
