INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0015
I00699,1,RCF,"AIREDALE NHS FOUNDATION TRUST",10,*,1.0934
I00699,1,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",15,0,0.8626
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",69,*,2.8995
I00699,1,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0112
I00699,1,R1H,"BARTS HEALTH NHS TRUST",124,*,4.4512
I00699,1,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",11,*,1.1437
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",*,0,0.0302
I00699,1,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",10,*,0.7410
I00699,1,RMC,"BOLTON NHS FOUNDATION TRUST",13,0,0.3831
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",21,*,1.6304
I00699,1,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",28,0,1.8637
I00699,1,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",*,0,0.0638
I00699,1,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",*,0,0.1664
I00699,1,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",*,0,0.6229
I00699,1,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",14,0,0.6953
I00699,1,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",38,*,1.5074
I00699,1,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",*,0,0.0186
I00699,1,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",*,0,0.0307
I00699,1,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",*,0,0.2547
I00699,1,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",*,*,0.4830
I00699,1,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",22,0,1.0978
I00699,1,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",24,0,0.7678
I00699,1,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",11,0,0.3123
I00699,1,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,0.0533
I00699,1,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",*,*,0.3626
I00699,1,RJN,"EAST CHESHIRE NHS TRUST",*,0,0.2128
I00699,1,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",14,0,0.5891
I00699,1,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",16,*,0.7031
I00699,1,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",*,0,0.3747
I00699,1,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",*,*,0.5353
I00699,1,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",23,0,1.2094
I00699,1,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,0,0.1081
I00699,1,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",8,*,0.8200
I00699,1,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",9,*,0.1765
I00699,1,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",31,*,2.0797
I00699,1,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,0.1225
I00699,1,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",58,*,1.7214
I00699,1,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",30,*,1.9157
I00699,1,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",10,*,0.7818
I00699,1,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",74,*,3.6879
I00699,1,RGQ,"IPSWICH HOSPITAL NHS TRUST",*,0,0.0260
I00699,1,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7,0,0.1202
I00699,1,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",7,0,0.0424
I00699,1,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",33,*,1.2247
I00699,1,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,*,0.1680
I00699,1,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",9,0,0.4978
I00699,1,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",31,*,0.7575
I00699,1,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",37,0,2.2862
I00699,1,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",124,*,5.6839
I00699,1,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",22,0,0.4237
