INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7268,1201220,0.6051
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",71,6729,1.0551
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",15,2865,0.5236
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",31,6312,0.4911
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",55,7374,0.7459
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",11,3455,0.3184
I00731,R1H,"BARTS HEALTH NHS TRUST",129,23025,0.5603
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",61,6206,0.9829
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",20,2922,0.6845
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",49,6737,0.7273
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",39,4493,0.8680
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",33,5358,0.6159
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",62,8991,0.6896
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",23,5697,0.4037
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",11,5685,0.1935
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",61,15742,0.3875
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",37,8243,0.4489
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",16,4291,0.3729
I00731,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",51,11129,0.4583
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",55,4323,1.2723
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",37,6832,0.5416
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",7,2955,0.2369
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",42,11977,0.3507
I00731,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",37,8733,0.4237
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",30,3715,0.8075
I00731,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",41,8742,0.4690
I00731,RJN,"EAST CHESHIRE NHS TRUST",13,1323,0.9826
I00731,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",109,16413,0.6641
I00731,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",62,10017,0.6189
I00731,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",82,12905,0.6354
I00731,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",50,6183,0.8087
I00731,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",25,8418,0.2970
I00731,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",77,15667,0.4915
I00731,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",61,4587,1.3298
I00731,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",6,1960,0.3061
I00731,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",52,13561,0.3835
I00731,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",43,6954,0.6183
I00731,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",202,28254,0.7149
I00731,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",18,7594,0.2370
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",16,3660,0.4372
I00731,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",16,3049,0.5248
I00731,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",140,15609,0.8969
I00731,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",114,19147,0.5954
I00731,R1F,"ISLE OF WIGHT NHS TRUST",8,2017,0.3966
I00731,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",27,3702,0.7293
I00731,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",29,4588,0.6321
I00731,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",109,23104,0.4718
I00731,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",9,3879,0.2320
I00731,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",104,10645,0.9770
I00731,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",165,25000,0.6600
I00731,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",12,4429,0.2709
I00731,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",55,10043,0.5476
I00731,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",33,7587,0.4350
