INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,"ENGLAND",291568,7899452,3.6910
I00732,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2132,52620,4.0517
I00732,RCF,"AIREDALE NHS FOUNDATION TRUST",981,30167,3.2519
I00732,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1676,35122,4.7719
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3091,79571,3.8846
I00732,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1627,40321,4.0351
I00732,R1H,"BARTS HEALTH NHS TRUST",3719,147766,2.5168
I00732,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2200,68593,3.2073
I00732,RC1,"BEDFORD HOSPITAL NHS TRUST",1259,33312,3.7794
I00732,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2432,47616,5.1075
I00732,RMC,"BOLTON NHS FOUNDATION TRUST",1774,56170,3.1583
I00732,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1960,92083,2.1285
I00732,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2149,54032,3.9773
I00732,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1629,53810,3.0273
I00732,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2489,64842,3.8386
I00732,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2242,58517,3.8314
I00732,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1629,84265,1.9332
I00732,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1892,46759,4.0463
I00732,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2032,46292,4.3895
I00732,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1481,42893,3.4528
I00732,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3110,75154,4.1382
I00732,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1356,36567,3.7083
I00732,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1573,45777,3.4362
I00732,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2768,64026,4.3232
I00732,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1133,25563,4.4322
I00732,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2475,57427,4.3098
I00732,RJN,"EAST CHESHIRE NHS TRUST",958,17893,5.3540
I00732,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4128,91140,4.5293
I00732,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2787,70338,3.9623
I00732,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4638,94491,4.9084
I00732,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2657,54098,4.9115
I00732,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1990,53785,3.6999
I00732,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3524,113794,3.0968
I00732,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1475,28981,5.0895
I00732,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1088,20630,5.2739
I00732,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",2972,79365,3.7447
I00732,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1728,56535,3.0565
I00732,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1254,64116,1.9558
I00732,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2091,55384,3.7755
I00732,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",917,23229,3.9477
I00732,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",484,41612,1.1631
I00732,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3329,68735,4.8432
I00732,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2111,88211,2.3931
I00732,R1F,"ISLE OF WIGHT NHS TRUST",883,15285,5.7769
I00732,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1663,28419,5.8517
I00732,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1728,46911,3.6836
I00732,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3178,87031,3.6516
I00732,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1225,53839,2.2753
I00732,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2266,67588,3.3527
I00732,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4114,100844,4.0796
I00732,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2469,85961,2.8722
I00732,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2580,90996,2.8353
I00732,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1779,71010,2.5053
I00732,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2459,66938,3.6735
I00732,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3216,143706,2.2379
I00732,RPA,"MEDWAY NHS FOUNDATION TRUST",2067,49265,4.1957
I00732,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1584,47093,3.3636
I00732,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2083,48685,4.2785
I00732,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2946,85878,3.4304
I00732,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1349,39700,3.3980
I00732,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3529,76025,4.6419
I00732,RVJ,"NORTH BRISTOL NHS TRUST",2314,73963,3.1286
I00732,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1879,41950,4.4791
I00732,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1345,45386,2.9635
I00732,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2063,52806,3.9068
I00732,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2852,68594,4.1578
I00732,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",2012,64269,3.1306
I00732,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1062,26438,4.0169
I00732,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2500,51303,4.8730
I00732,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3206,65414,4.9011
I00732,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4340,115299,3.7641
I00732,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3124,95022,3.2877
I00732,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3813,116332,3.2777
I00732,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1659,47417,3.4987
I00732,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3043,69906,4.3530
I00732,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2039,60529,3.3686
I00732,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2439,61567,3.9615
I00732,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2156,49945,4.3167
I00732,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2697,90186,2.9905
I00732,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",2013,42195,4.7707
I00732,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1142,40301,2.8337
I00732,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1931,53562,3.6052
I00732,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",1797,41473,4.3329
I00732,RNZ,"SALISBURY NHS FOUNDATION TRUST",1026,31729,3.2336
I00732,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2142,63069,3.3963
I00732,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3470,91096,3.8092
I00732,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",1940,48562,3.9949
I00732,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2728,63356,4.3058
I00732,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2717,69694,3.8985
I00732,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",1083,21055,5.1437
I00732,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1230,31482,3.9070
I00732,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2474,49492,4.9988
I00732,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1394,29842,4.6713
I00732,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2004,71146,2.8167
I00732,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",2328,71492,3.2563
I00732,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1859,51206,3.6304
I00732,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1920,47896,4.0087
I00732,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1607,31798,5.0538
I00732,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1872,50862,3.6805
I00732,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2508,55393,4.5276
I00732,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1086,37288,2.9125
I00732,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2514,73582,3.4166
I00732,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",1647,45627,3.6097
I00732,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1753,42585,4.1165
I00732,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1462,31719,4.6092
I00732,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2089,38333,5.4496
I00732,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",2666,60410,4.4132
I00732,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1670,43010,3.8828
I00732,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",3680,70984,5.1843
I00732,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",1000,47292,2.1145
I00732,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2980,75339,3.9555
I00732,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",7283,215623,3.3777
I00732,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1592,65221,2.4409
I00732,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",2864,83720,3.4209
I00732,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",4598,113656,4.0455
I00732,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",4481,136785,3.2759
I00732,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1769,45268,3.9078
I00732,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",4485,120658,3.7171
I00732,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",2546,60678,4.1959
I00732,RBK,"WALSALL HEALTHCARE NHS TRUST",1613,41055,3.9289
I00732,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",1413,40026,3.5302
I00732,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",2113,53918,3.9189
I00732,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1511,32898,4.5930
I00732,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",3085,71114,4.3381
I00732,RA3,"WESTON AREA HEALTH NHS TRUST",806,14912,5.4050
I00732,RKE,"WHITTINGTON HEALTH NHS TRUST",587,23767,2.4698
I00732,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2230,60099,3.7105
I00732,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2926,63369,4.6174
I00732,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1820,40196,4.5278
I00732,RLQ,"WYE VALLEY NHS TRUST",1220,25009,4.8782
I00732,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",1163,25436,4.5723
I00732,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3130,80072,3.9090
