INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,"ENGLAND",298836,60418,60508,61199,59158,52791,4762,20.2178,20.2479,20.4791,19.7961,17.6655,1.5935
I00743,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2203,1216,289,293,235,134,36,55.1975,13.1185,13.3000,10.6673,6.0826,1.6341
I00743,RCF,"AIREDALE NHS FOUNDATION TRUST",996,156,102,197,348,185,8,15.6627,10.2410,19.7791,34.9398,18.5743,0.8032
I00743,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1707,14,135,256,374,917,11,0.8202,7.9086,14.9971,21.9098,53.7200,0.6444
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3146,544,892,730,638,278,64,17.2918,28.3535,23.2041,20.2797,8.8366,2.0343
I00743,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1638,472,561,362,151,63,29,28.8156,34.2491,22.1001,9.2186,3.8462,1.7705
I00743,R1H,"BARTS HEALTH NHS TRUST",3848,2040,812,385,249,177,185,53.0146,21.1019,10.0052,6.4709,4.5998,4.8077
I00743,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2261,326,619,447,370,486,13,14.4184,27.3773,19.7700,16.3644,21.4949,0.5750
I00743,RC1,"BEDFORD HOSPITAL NHS TRUST",1279,90,271,196,297,411,14,7.0367,21.1884,15.3245,23.2213,32.1345,1.0946
I00743,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2481,637,511,543,420,356,14,25.6751,20.5965,21.8863,16.9287,14.3491,0.5643
I00743,RMC,"BOLTON NHS FOUNDATION TRUST",1813,771,405,209,257,149,22,42.5262,22.3387,11.5279,14.1754,8.2184,1.2135
I00743,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1993,875,463,375,166,*,*,43.9037,23.2313,18.8159,8.3292,*,*
I00743,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2211,263,444,492,473,503,36,11.8951,20.0814,22.2524,21.3930,22.7499,1.6282
I00743,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1652,*,211,230,271,911,*,*,12.7724,13.9225,16.4044,55.1453,*
I00743,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2500,604,627,460,493,309,7,24.1600,25.0800,18.4000,19.7200,12.3600,0.2800
I00743,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2303,47,281,380,688,858,49,2.0408,12.2015,16.5002,29.8741,37.2558,2.1277
I00743,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1666,145,561,449,311,131,69,8.7035,33.6735,26.9508,18.6675,7.8631,4.1417
I00743,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1908,343,534,385,398,*,*,17.9769,27.9874,20.1782,20.8595,*,*
I00743,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2083,943,586,243,243,60,8,45.2712,28.1325,11.6659,11.6659,2.8805,0.3841
I00743,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1536,281,159,184,240,407,265,18.2943,10.3516,11.9792,15.6250,26.4974,17.2526
I00743,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3147,833,958,531,400,389,36,26.4697,30.4417,16.8732,12.7105,12.3610,1.1439
I00743,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1363,234,408,345,213,143,20,17.1680,29.9340,25.3118,15.6273,10.4916,1.4674
I00743,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1615,161,341,307,404,373,29,9.9690,21.1146,19.0093,25.0155,23.0960,1.7957
I00743,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2805,1010,698,569,445,*,*,36.0071,24.8841,20.2852,15.8645,*,*
