INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,"ENGLAND",9100672,2157067,1871973,1719545,1580747,1451626,319714,23.7023,20.5696,18.8947,17.3696,15.9508,3.5131
I00742,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",59349,34607,7765,7406,5084,3279,1208,58.3110,13.0836,12.4787,8.5663,5.5249,2.0354
I00742,RCF,"AIREDALE NHS FOUNDATION TRUST",33032,7135,4225,6372,10004,4913,383,21.6003,12.7906,19.2904,30.2858,14.8735,1.1595
I00742,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",41434,454,4493,6941,9800,19288,458,1.0957,10.8438,16.7519,23.6521,46.5511,1.1054
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86945,17195,25095,17382,14054,6168,7051,19.7769,28.8631,19.9919,16.1642,7.0941,8.1097
I00742,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",43776,15100,12915,8401,4591,2108,661,34.4938,29.5025,19.1909,10.4875,4.8154,1.5100
I00742,R1H,"BARTS HEALTH NHS TRUST",170791,92792,37132,17029,9702,6137,7999,54.3307,21.7412,9.9707,5.6806,3.5933,4.6835
I00742,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",74799,13525,20489,15179,11327,13592,687,18.0818,27.3921,20.2931,15.1433,18.1714,0.9185
I00742,RC1,"BEDFORD HOSPITAL NHS TRUST",36234,3363,6488,6093,8675,11233,382,9.2813,17.9058,16.8157,23.9416,31.0013,1.0543
I00742,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",54353,17698,10793,9974,9026,6263,599,32.5612,19.8572,18.3504,16.6063,11.5228,1.1021
I00742,RMC,"BOLTON NHS FOUNDATION TRUST",60663,28760,12417,7264,6809,4479,934,47.4095,20.4688,11.9744,11.2243,7.3834,1.5397
I00742,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",97441,54865,19137,13164,5730,3225,1320,56.3059,19.6396,13.5097,5.8805,3.3097,1.3547
I00742,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",63023,8350,13442,13967,11915,14003,1346,13.2491,21.3287,22.1618,18.9058,22.2189,2.1357
I00742,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",59507,331,10441,9526,9987,28393,829,0.5562,17.5458,16.0082,16.7829,47.7137,1.3931
I00742,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",70527,19491,18285,11146,12945,7959,701,27.6362,25.9262,15.8039,18.3547,11.2850,0.9939
I00742,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",74259,2058,9421,12417,21616,26663,2084,2.7714,12.6867,16.7212,29.1089,35.9054,2.8064
I00742,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",92508,10680,27590,20028,14681,6223,13306,11.5449,29.8244,21.6500,15.8700,6.7270,14.3836
I00742,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",51050,11329,14783,8947,9508,6236,247,22.1920,28.9579,17.5260,18.6249,12.2155,0.4838
I00742,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",57421,24391,15654,7377,5962,2074,1963,42.4775,27.2618,12.8472,10.3830,3.6119,3.4186
I00742,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47216,9607,5085,5009,7142,11118,9255,20.3469,10.7697,10.6087,15.1262,23.5471,19.6014
I00742,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",81986,24922,24110,13064,9549,9460,881,30.3979,29.4075,15.9344,11.6471,11.5386,1.0746
I00742,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",39522,8032,13640,9552,4808,2364,1126,20.3229,34.5124,24.1688,12.1654,5.9815,2.8490
I00742,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",57754,7058,14611,11809,13247,10375,654,12.2208,25.2987,20.4471,22.9369,17.9641,1.1324
I00742,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",72759,28409,17036,13701,11031,1997,585,39.0453,23.4143,18.8307,15.1610,2.7447,0.8040
I00742,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",29278,3303,5065,10898,7361,2169,482,11.2815,17.2997,37.2225,25.1417,7.4083,1.6463
I00742,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",66169,1548,7944,15854,14297,21033,5493,2.3395,12.0056,23.9599,21.6068,31.7868,8.3015
I00742,RJN,"EAST CHESHIRE NHS TRUST",19216,1298,2716,3922,3606,7403,271,6.7548,14.1341,20.4101,18.7656,38.5252,1.4103
I00742,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",107553,20278,23812,28182,26535,7578,1168,18.8540,22.1398,26.2029,24.6716,7.0458,1.0860
I00742,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",80355,36600,17331,8772,11826,4734,1092,45.5479,21.5680,10.9166,14.7172,5.8914,1.3590
I00742,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",107396,12301,19725,22924,28040,18665,5741,11.4539,18.3666,21.3453,26.1090,17.3796,5.3456
I00742,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",60281,12960,17195,14297,10850,4464,515,21.4993,28.5247,23.7173,17.9990,7.4053,0.8543
I00742,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",62203,2346,11837,11644,13874,21202,1300,3.7715,19.0296,18.7194,22.3044,34.0852,2.0899
I00742,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",129461,5264,19029,25545,24526,53301,1796,4.0661,14.6986,19.7318,18.9447,41.1715,1.3873
I00742,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",33568,13369,9426,3614,5000,1828,331,39.8266,28.0803,10.7662,14.8951,5.4457,0.9861
