INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,"ENGLAND",4.4829,19
I01965,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3.4629,19
I01965,RCF,"AIREDALE NHS FOUNDATION TRUST",4.2185,13
I01965,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",3.5798,11
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.1737,13
I01965,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",3.8836,19
I01965,R1H,"BARTS HEALTH NHS TRUST",5.6299,19
I01965,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.2536,19
I01965,RC1,"BEDFORD HOSPITAL NHS TRUST",4.3436,19
I01965,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",5.7539,13
I01965,RMC,"BOLTON NHS FOUNDATION TRUST",4.7095,19
I01965,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",4.4630,19
I01965,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",4.5623,19
I01965,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",4.4692,19
I01965,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",4.5898,19
I01965,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.2346,19
I01965,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",4.1208,19
I01965,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",4.2724,19
I01965,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",3.7606,19
I01965,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",2.9769,19
I01965,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3.4297,13
I01965,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",3.6254,15
I01965,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",2.4546,15
