INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",298836,211396,87440,70.7398,29.2602
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2203,1674,529,75.9873,24.0127
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",996,650,346,65.2610,34.7390
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1707,1206,501,70.6503,29.3497
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3146,2264,882,71.9644,28.0356
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1638,1132,506,69.1087,30.8913
I00733,R1H,"BARTS HEALTH NHS TRUST",3848,3017,831,78.4044,21.5956
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2261,1616,645,71.4728,28.5272
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1279,890,389,69.5856,30.4144
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2481,1799,682,72.5111,27.4889
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1813,1292,521,71.2631,28.7369
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1993,1306,687,65.5294,34.4706
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2211,1542,669,69.7422,30.2578
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1652,1237,415,74.8789,25.1211
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2500,1658,842,66.3200,33.6800
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2303,1538,765,66.7825,33.2175
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1666,1224,442,73.4694,26.5306
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1908,1298,610,68.0294,31.9706
I00733,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2083,1565,518,75.1320,24.8680
I00733,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1536,1132,404,73.6979,26.3021
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3147,2152,995,68.3826,31.6174
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1363,1030,333,75.5686,24.4314
I00733,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1615,1135,480,70.2786,29.7214
I00733,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2805,1878,927,66.9519,33.0481
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1163,749,414,64.4024,35.5976
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2516,1700,816,67.5676,32.4324
I00733,RJN,"EAST CHESHIRE NHS TRUST",971,677,294,69.7219,30.2781
I00733,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4237,2744,1493,64.7628,35.2372
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2849,1986,863,69.7087,30.2913
I00733,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4720,3205,1515,67.9025,32.0975
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2707,1791,916,66.1618,33.8382
I00733,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",2015,1501,514,74.4913,25.5087
I00733,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3601,2555,1046,70.9525,29.0475
I00733,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1536,1129,407,73.5026,26.4974
I00733,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1094,777,317,71.0238,28.9762
I00733,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3024,1927,1097,63.7235,36.2765
I00733,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1771,1280,491,72.2756,27.7244
I00733,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1456,1056,400,72.5275,27.4725
I00733,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2109,1621,488,76.8611,23.1389
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",933,653,280,69.9893,30.0107
I00733,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",500,379,121,75.8000,24.2000
I00733,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3469,2392,1077,68.9536,31.0464
I00733,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2225,1643,582,73.8427,26.1573
I00733,R1F,"ISLE OF WIGHT NHS TRUST",891,510,381,57.2391,42.7609
I00733,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1690,1230,460,72.7811,27.2189
I00733,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1757,1234,523,70.2334,29.7666
I00733,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3287,2430,857,73.9276,26.0724
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1234,864,370,70.0162,29.9838
I00733,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2370,1679,691,70.8439,29.1561
I00733,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4279,3078,1201,71.9327,28.0673
I00733,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2481,1820,661,73.3575,26.6425
I00733,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2635,2005,630,76.0911,23.9089
I00733,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1812,1281,531,70.6954,29.3046
I00733,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2510,1639,871,65.2988,34.7012
I00733,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3416,2624,792,76.8150,23.1850
I00733,RPA,"MEDWAY NHS FOUNDATION TRUST",2081,1445,636,69.4378,30.5622
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1594,1095,499,68.6951,31.3049
I00733,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2137,1489,648,69.6771,30.3229
I00733,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2980,2064,916,69.2617,30.7383
I00733,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1370,956,414,69.7810,30.2190
I00733,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3611,2509,1102,69.4821,30.5179
I00733,RVJ,"NORTH BRISTOL NHS TRUST",2353,1803,550,76.6256,23.3744
I00733,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1906,1279,627,67.1039,32.8961
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1361,1059,302,77.8104,22.1896
