INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",298836,5519,99687,100279,1.8468,33.3584,33.5565
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2203,119,1114,1118,5.4017,50.5674,50.7490
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",996,1,283,284,0.1004,28.4137,28.5141
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1707,5,745,747,0.2929,43.6438,43.7610
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3146,0,1235,1235,0.0000,39.2562,39.2562
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1638,0,356,356,0.0000,21.7338,21.7338
I00721,R1H,"BARTS HEALTH NHS TRUST",3848,374,1472,1498,9.7193,38.2536,38.9293
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2261,358,489,654,15.8337,21.6276,28.9253
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1279,0,357,357,0.0000,27.9124,27.9124
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2481,4,671,672,0.1612,27.0455,27.0859
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1813,0,496,496,0.0000,27.3580,27.3580
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1993,0,500,500,0.0000,25.0878,25.0878
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2211,1,589,589,0.0452,26.6395,26.6395
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1652,199,768,787,12.0460,46.4891,47.6392
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2500,0,1029,1029,0.0000,41.1600,41.1600
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2303,0,854,854,0.0000,37.0821,37.0821
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1666,15,850,850,0.9004,51.0204,51.0204
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1908,0,471,471,0.0000,24.6855,24.6855
I00721,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2083,0,408,408,0.0000,19.5871,19.5871
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1536,0,535,535,0.0000,34.8307,34.8307
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3147,0,1357,1357,0.0000,43.1204,43.1204
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1363,0,590,590,0.0000,43.2869,43.2869
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1615,0,835,835,0.0000,51.7028,51.7028
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2805,0,1278,1278,0.0000,45.5615,45.5615
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1163,0,343,343,0.0000,29.4927,29.4927
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2516,144,942,946,5.7234,37.4404,37.5994
I00721,RJN,"EAST CHESHIRE NHS TRUST",971,0,176,176,0.0000,18.1256,18.1256
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4237,0,990,990,0.0000,23.3656,23.3656
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2849,0,895,895,0.0000,31.4145,31.4145
I00721,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4720,0,1369,1369,0.0000,29.0042,29.0042
I00721,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2707,0,809,809,0.0000,29.8855,29.8855
