INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,"ENGLAND",9100672,8301,160870,162209,0.0912,1.7677,1.7824
I00720,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",59349,173,1704,1709,0.2915,2.8712,2.8796
I00720,RCF,"AIREDALE NHS FOUNDATION TRUST",33032,1,515,516,0.0030,1.5591,1.5621
I00720,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",41434,5,1122,1124,0.0121,2.7079,2.7127
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86945,0,1900,1900,0.0000,2.1853,2.1853
I00720,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",43776,0,621,621,0.0000,1.4186,1.4186
I00720,R1H,"BARTS HEALTH NHS TRUST",170791,448,2730,2767,0.2623,1.5984,1.6201
I00720,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",74799,882,988,1405,1.1792,1.3209,1.8784
I00720,RC1,"BEDFORD HOSPITAL NHS TRUST",36234,0,562,562,0.0000,1.5510,1.5510
I00720,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",54353,5,1073,1074,0.0092,1.9741,1.9760
I00720,RMC,"BOLTON NHS FOUNDATION TRUST",60663,0,764,764,0.0000,1.2594,1.2594
I00720,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",97441,1,794,795,0.0010,0.8149,0.8159
I00720,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",63023,1,927,927,0.0016,1.4709,1.4709
I00720,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",59507,321,1166,1198,0.5394,1.9594,2.0132
I00720,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",70527,0,1678,1678,0.0000,2.3792,2.3792
I00720,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",74259,0,1580,1580,0.0000,2.1277,2.1277
I00720,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",92508,29,1450,1450,0.0313,1.5674,1.5674
I00720,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",51050,0,807,807,0.0000,1.5808,1.5808
I00720,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",57421,0,811,811,0.0000,1.4124,1.4124
I00720,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47216,1,749,750,0.0021,1.5863,1.5884
I00720,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",81986,0,2006,2006,0.0000,2.4468,2.4468
I00720,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",39522,0,873,873,0.0000,2.2089,2.2089
I00720,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",57754,0,1267,1267,0.0000,2.1938,2.1938
I00720,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",72759,0,1779,1779,0.0000,2.4451,2.4451
I00720,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",29278,0,506,506,0.0000,1.7283,1.7283
I00720,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",66169,244,1460,1464,0.3688,2.2065,2.2125
I00720,RJN,"EAST CHESHIRE NHS TRUST",19216,0,335,335,0.0000,1.7433,1.7433
I00720,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",107553,1,1470,1471,0.0009,1.3668,1.3677
I00720,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",80355,5,1532,1536,0.0062,1.9065,1.9115
I00720,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",107396,0,2404,2404,0.0000,2.2384,2.2384
I00720,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",60281,0,1190,1190,0.0000,1.9741,1.9741
I00720,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",62203,2,1166,1168,0.0032,1.8745,1.8777
I00720,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",129461,0,2427,2427,0.0000,1.8747,1.8747
I00720,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",33568,206,525,548,0.6137,1.5640,1.6325
I00720,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",22590,0,375,375,0.0000,1.6600,1.6600
I00720,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",92926,1,1626,1627,0.0011,1.7498,1.7509
I00720,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",63489,75,1005,1006,0.1181,1.5830,1.5845
I00720,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",92370,11,1379,1388,0.0119,1.4929,1.5027
I00720,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",62978,326,1261,1366,0.5176,2.0023,2.1690
I00720,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",26889,0,380,380,0.0000,1.4132,1.4132
I00720,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",44661,0,351,351,0.0000,0.7859,0.7859
I00720,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",84344,332,1621,1822,0.3936,1.9219,2.1602
I00720,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",107358,2,2744,2745,0.0019,2.5559,2.5569
I00720,R1F,"ISLE OF WIGHT NHS TRUST",17302,0,434,434,0.0000,2.5084,2.5084
I00720,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",32121,1,687,688,0.0031,2.1388,2.1419
I00720,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",51499,0,760,760,0.0000,1.4758,1.4758
I00720,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",110135,0,2659,2659,0.0000,2.4143,2.4143
I00720,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",57718,0,746,746,0.0000,1.2925,1.2925
I00720,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",78233,1,1745,1745,0.0013,2.2305,2.2305
I00720,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",125844,1,2174,2174,0.0008,1.7275,1.7275
I00720,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",90390,0,934,934,0.0000,1.0333,1.0333
I00720,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",101039,0,1592,1592,0.0000,1.5756,1.5756
I00720,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",78597,0,928,928,0.0000,1.1807,1.1807
I00720,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",73219,0,1141,1141,0.0000,1.5583,1.5583
I00720,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",177108,4,3391,3393,0.0023,1.9147,1.9158
I00720,RPA,"MEDWAY NHS FOUNDATION TRUST",55446,0,860,860,0.0000,1.5511,1.5511
I00720,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",50090,0,656,656,0.0000,1.3096,1.3096
I00720,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",56313,0,626,626,0.0000,1.1116,1.1116
I00720,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",94112,0,1670,1670,0.0000,1.7745,1.7745
I00720,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",43279,0,998,998,0.0000,2.3060,2.3060
I00720,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",90070,4,2435,2435,0.0044,2.7035,2.7035
I00720,RVJ,"NORTH BRISTOL NHS TRUST",86321,0,959,959,0.0000,1.1110,1.1110
I00720,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",46858,0,1035,1035,0.0000,2.2088,2.2088
I00720,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",47566,0,527,527,0.0000,1.1079,1.1079
I00720,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",59709,1,1064,1065,0.0017,1.7820,1.7837
I00720,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",79680,4,1901,1905,0.0050,2.3858,2.3908
I00720,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",69955,0,1068,1068,0.0000,1.5267,1.5267
I00720,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",31356,0,568,568,0.0000,1.8115,1.8115
I00720,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",57815,0,856,856,0.0000,1.4806,1.4806
I00720,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",71850,913,1995,2066,1.2707,2.7766,2.8754
I00720,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",136324,396,2369,2373,0.2905,1.7378,1.7407
I00720,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",115000,377,2244,2250,0.3278,1.9513,1.9565
I00720,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",127505,52,1541,1546,0.0408,1.2086,1.2125
I00720,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",50821,333,706,754,0.6552,1.3892,1.4836
I00720,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",80397,0,1295,1295,0.0000,1.6108,1.6108
I00720,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",67404,1,1444,1445,0.0015,2.1423,2.1438
I00720,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",71270,2,1057,1059,0.0028,1.4831,1.4859
I00720,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",62320,0,1024,1024,0.0000,1.6431,1.6431
I00720,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",103291,1,1910,1911,0.0010,1.8491,1.8501
I00720,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",50051,391,1462,1498,0.7812,2.9210,2.9929
I00720,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",48275,62,1195,1199,0.1284,2.4754,2.4837
I00720,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",59158,0,847,847,0.0000,1.4318,1.4318
I00720,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",49922,0,1450,1450,0.0000,2.9045,2.9045
I00720,RNZ,"SALISBURY NHS FOUNDATION TRUST",37103,232,757,780,0.6253,2.0403,2.1023
I00720,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",69593,0,699,699,0.0000,1.0044,1.0044
I00720,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",114630,376,1646,1788,0.3280,1.4359,1.5598
I00720,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",54390,0,509,509,0.0000,0.9358,0.9358
I00720,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",68760,1,1274,1275,0.0015,1.8528,1.8543
I00720,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",87028,2,1224,1224,0.0023,1.4064,1.4064
I00720,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",22401,301,637,659,1.3437,2.8436,2.9418
I00720,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",35662,0,299,299,0.0000,0.8384,0.8384
I00720,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",57062,83,1381,1383,0.1455,2.4202,2.4237
I00720,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",32414,0,564,564,0.0000,1.7400,1.7400
I00720,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",89034,1,1654,1655,0.0011,1.8577,1.8588
