INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,"ENGLAND",1138308,9100672,12.5080
I01964,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",11934,59349,20.1082
I01964,RCF,"AIREDALE NHS FOUNDATION TRUST",4698,33032,14.2226
I01964,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",3663,41434,8.8406
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11766,86945,13.5327
I01964,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5355,43776,12.2327
I01964,R1H,"BARTS HEALTH NHS TRUST",24183,170791,14.1594
I01964,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",11365,74799,15.1941
I01964,RC1,"BEDFORD HOSPITAL NHS TRUST",5383,36234,14.8562
I01964,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6007,54353,11.0518
I01964,RMC,"BOLTON NHS FOUNDATION TRUST",5964,60663,9.8314
I01964,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",13311,97441,13.6606
I01964,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",7982,63023,12.6652
I01964,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",7575,59507,12.7296
I01964,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",7995,70527,11.3361
I01964,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",8534,74259,11.4922
I01964,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",14022,92508,15.1576
I01964,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",6249,51050,12.2409
I01964,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",4727,57421,8.2322
I01964,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",4575,47216,9.6895
I01964,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",10843,81986,13.2254
I01964,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",3987,39522,10.0881
I01964,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",8578,57754,14.8527
I01964,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",10293,72759,14.1467
I01964,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3779,29278,12.9073
I01964,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",6388,66169,9.6541
I01964,RJN,"EAST CHESHIRE NHS TRUST",1423,19216,7.4053
I01964,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",12721,107553,11.8277
I01964,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",9865,80355,12.2768
I01964,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",12070,107396,11.2388
I01964,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",7992,60281,13.2579
I01964,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",8341,62203,13.4093
I01964,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",19457,129461,15.0292
I01964,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",4207,33568,12.5328
I01964,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",2489,22590,11.0181
I01964,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",9808,92926,10.5546
I01964,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",9433,63489,14.8577
I01964,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",9173,92370,9.9307
I01964,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",7364,62978,11.6930
I01964,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3532,26889,13.1355
I01964,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4539,44661,10.1632
I01964,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",4675,84344,5.5428
I01964,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",8809,107358,8.2053
I01964,R1F,"ISLE OF WIGHT NHS TRUST",1829,17302,10.5710
I01964,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3836,32121,11.9423
I01964,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",6757,51499,13.1206
I01964,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",9654,110135,8.7656
I01964,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",5643,57718,9.7768
I01964,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",8261,78233,10.5595
I01964,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",13873,125844,11.0240
I01964,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",10897,90390,12.0555
I01964,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",18041,101039,17.8555
I01964,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",10290,78597,13.0921
I01964,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",12448,73219,17.0011
I01964,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",16994,177108,9.5953
I01964,RPA,"MEDWAY NHS FOUNDATION TRUST",6856,55446,12.3652
I01964,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",6986,50090,13.9469
I01964,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",7257,56313,12.8869
I01964,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",10050,94112,10.6788
I01964,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",5812,43279,13.4291
I01964,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",8317,90070,9.2339
I01964,RVJ,"NORTH BRISTOL NHS TRUST",11376,86321,13.1787
I01964,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",3859,46858,8.2355
I01964,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",5812,47566,12.2188
I01964,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",7665,59709,12.8373
I01964,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",10627,79680,13.3371
I01964,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",8264,69955,11.8133
I01964,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",3609,31356,11.5098
I01964,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",6560,57815,11.3465
I01964,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",10233,71850,14.2422
I01964,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",14543,136324,10.6680
I01964,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",13303,115000,11.5678
I01964,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",15329,127505,12.0223
I01964,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",7498,50821,14.7537
I01964,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",10304,80397,12.8164
I01964,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",9407,67404,13.9561
I01964,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",8761,71270,12.2927
I01964,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",7577,62320,12.1582
I01964,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",11928,103291,11.5480
I01964,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",8030,50051,16.0436
I01964,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",6215,48275,12.8742
I01964,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",9062,59158,15.3183
I01964,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",6272,49922,12.5636
I01964,RNZ,"SALISBURY NHS FOUNDATION TRUST",4468,37103,12.0422
I01964,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",9676,69593,13.9037
I01964,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",9609,114630,8.3826
I01964,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",7174,54390,13.1899
I01964,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",8874,68760,12.9058
I01964,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",9164,87028,10.5299
I01964,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",3263,22401,14.5663
I01964,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",4107,35662,11.5165
I01964,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",8090,57062,14.1776
I01964,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",4578,32414,14.1235
I01964,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",10226,89034,11.4855
I01964,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",10971,78701,13.9401
I01964,RWJ,"STOCKPORT NHS FOUNDATION TRUST",5488,57722,9.5076
I01964,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",7775,53206,14.6130
I01964,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",3431,34407,9.9718
I01964,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",8155,58724,13.8870
I01964,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",6635,61076,10.8635
I01964,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",5383,40318,13.3514
I01964,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",9634,100857,9.5521
I01964,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",4891,49683,9.8444
I01964,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",7456,47645,15.6491
I01964,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",4618,37217,12.4083
I01964,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",8819,48959,18.0130
I01964,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",7241,67694,10.6967
I01964,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",10792,46621,23.1484
I01964,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",8940,80117,11.1587
I01964,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",7447,69959,10.6448
I01964,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",12343,94562,13.0528
I01964,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",48530,270010,17.9734
I01964,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",10110,79838,12.6631
I01964,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",12422,97620,12.7249
