INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,"ENGLAND",23631,9100672,0.2597
I01963,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",151,59349,0.2544
I01963,RCF,"AIREDALE NHS FOUNDATION TRUST",7,33032,0.0212
I01963,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",9,41434,0.0217
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",52,86945,0.0598
I01963,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",3,43776,0.0069
I01963,R1H,"BARTS HEALTH NHS TRUST",362,170791,0.2120
I01963,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",46,74799,0.0615
I01963,RC1,"BEDFORD HOSPITAL NHS TRUST",50,36234,0.1380
I01963,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",35,54353,0.0644
I01963,RMC,"BOLTON NHS FOUNDATION TRUST",704,60663,1.1605
I01963,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",125,97441,0.1283
I01963,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",26,63023,0.0413
I01963,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",887,59507,1.4906
I01963,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",15,70527,0.0213
I01963,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",40,74259,0.0539
I01963,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",881,92508,0.9524
I01963,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",50,51050,0.0979
I01963,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",25,57421,0.0435
I01963,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",105,47216,0.2224
I01963,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",0,81986,0.0000
I01963,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",19,39522,0.0481
I01963,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",109,57754,0.1887
I01963,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",47,72759,0.0646
I01963,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3,29278,0.0102
I01963,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",9,66169,0.0136
I01963,RJN,"EAST CHESHIRE NHS TRUST",0,19216,0.0000
I01963,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",627,107553,0.5830
I01963,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",50,80355,0.0622
I01963,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",126,107396,0.1173
I01963,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",218,60281,0.3616
I01963,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",43,62203,0.0691
I01963,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",439,129461,0.3391
I01963,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",17,33568,0.0506
I01963,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",176,22590,0.7791
I01963,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",150,92926,0.1614
I01963,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",30,63489,0.0473
I01963,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",91,92370,0.0985
I01963,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",10,62978,0.0159
I01963,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",23,26889,0.0855
I01963,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",45,44661,0.1008
I01963,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",7,84344,0.0083
I01963,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",456,107358,0.4247
I01963,R1F,"ISLE OF WIGHT NHS TRUST",329,17302,1.9015
I01963,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",115,32121,0.3580
I01963,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",18,51499,0.0350
I01963,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",445,110135,0.4040
I01963,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",27,57718,0.0468
I01963,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",83,78233,0.1061
I01963,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",6,125844,0.0048
