INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,Tuberculosis,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0064
I00699,1,Tuberculosis,RCF,AIREDALE NHS FOUNDATION TRUST,*,0,0.0462
I00699,1,Tuberculosis,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,0,0.024
I00699,1,Tuberculosis,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",37,0,1.0389
I00699,1,Tuberculosis,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0732
I00699,1,Tuberculosis,R1H,BARTS HEALTH NHS TRUST,104,*,3.1761
I00699,1,Tuberculosis,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8,*,0.1271
I00699,1,Tuberculosis,RC1,BEDFORD HOSPITAL NHS TRUST,*,0,0.0988
I00699,1,Tuberculosis,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,*,0,0.1978
I00699,1,Tuberculosis,RMC,BOLTON NHS FOUNDATION TRUST,7,0,0.1731
I00699,1,Tuberculosis,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,37,*,0.7744
I00699,1,Tuberculosis,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,8,0,0.33
I00699,1,Tuberculosis,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,15,0,0.2652
I00699,1,Tuberculosis,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15,*,0.8826
I00699,1,Tuberculosis,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19,*,0.4237
I00699,1,Tuberculosis,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,32,0,0.4561
I00699,1,Tuberculosis,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.0889
I00699,1,Tuberculosis,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,9,*,0.6779
I00699,1,Tuberculosis,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,0,0.0144
I00699,1,Tuberculosis,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,*,0,0.5725
I00699,1,Tuberculosis,RJ6,CROYDON HEALTH SERVICES NHS TRUST,21,0,0.2912
I00699,1,Tuberculosis,RN7,DARTFORD AND GRAVESHAM NHS TRUST,11,0,0.5073
I00699,1,Tuberculosis,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,8,0,0.2386
I00699,1,Tuberculosis,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0659
I00699,1,Tuberculosis,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,*,0,0.2378
I00699,1,Tuberculosis,RJN,EAST CHESHIRE NHS TRUST,*,0,0.0072
I00699,1,Tuberculosis,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,14,0,0.1627
I00699,1,Tuberculosis,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,17,*,0.3464
I00699,1,Tuberculosis,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,*,0,0.1421
I00699,1,Tuberculosis,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,*,0,0.0592
I00699,1,Tuberculosis,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,*,0,0.112
I00699,1,Tuberculosis,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,18,*,1.3962
