INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.3234,0.3228,16.8046,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.2091,2035.3995,0,1,0.9944
I00699,1,AGE_GROUP_2,-14.2382,1339.362,0.0001,1,0.9915
I00699,1,AGE_GROUP_3,-14.124,1418.1098,0.0001,1,0.9921
I00699,1,AGE_GROUP_4,-14.3645,1273.7896,0.0001,1,0.991
I00699,1,AGE_GROUP_5,-14.7417,846.3072,0.0003,1,0.9861
I00699,1,AGE_GROUP_6,-1.6482,1.0435,2.4948,1,0.1142
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.5433,0.5812,0.8738,1,0.3499
I00699,1,AGE_GROUP_9,0.8577,0.3993,4.6136,1,0.0317
I00699,1,AGE_GROUP_10,-0.2664,0.5368,0.2463,1,0.6197
I00699,1,AGE_GROUP_11,0.7334,0.3998,3.3643,1,0.0666
I00699,1,AGE_GROUP_12,1.0944,0.3917,7.805,1,0.0052
I00699,1,AGE_GROUP_13,0.6084,0.4387,1.9229,1,0.1655
I00699,1,AGE_GROUP_14,0.9588,0.4147,5.3452,1,0.0208
I00699,1,AGE_GROUP_15,1.3234,0.4036,10.7545,1,0.001
I00699,1,AGE_GROUP_16,2.0309,0.3645,31.0443,1,0
I00699,1,AGE_GROUP_17,1.9229,0.3653,27.7136,1,0
I00699,1,AGE_GROUP_18,2.3223,0.3743,38.5029,1,0
I00699,1,AGE_GROUP_19,3.3495,0.3902,73.6847,1,0
I00699,1,AGE_GROUP_20,3.6475,0.455,64.2553,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.729,0.2041,12.7621,1,0.0004
I00699,1,CHARLSON_INDEX_3,1.0656,0.1941,30.1297,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3596,0.1536,5.4835,1,0.0192
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.6919,0.3294,202.8975,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.3986,0.1828,4.7541,1,0.0292
I00699,1,YEAR_INDEX_3,0.3554,0.1834,3.7547,1,0.0527
I00699,2,ADMIMETH_1,-0.4377,0.0362,146.5049,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-4.2178,0.1694,620.1637,1,0
I00699,2,AGE_GROUP_2,-3.6801,0.1632,508.3336,1,0
I00699,2,AGE_GROUP_3,-3.4263,0.2055,278.1038,1,0
